[500/10000]	Chromosomes: 500	Cells: 1	Coverage: 0.00038147%	Max Fitness: -17.86156417	Mean Fitness: -17.86156417	QD Score: -17.86156417
[1000/10000]	Chromosomes: 1000	Cells: 5	Coverage: 0.00190735%	Max Fitness: -16.17729693	Mean Fitness: -18.33649327	QD Score: -91.68246634
[1500/10000]	Chromosomes: 1500	Cells: 7	Coverage: 0.00267029%	Max Fitness: -15.42239751	Mean Fitness: -17.89018545	QD Score: -125.23129816
[2000/10000]	Chromosomes: 2000	Cells: 13	Coverage: 0.00495911%	Max Fitness: -15.36512561	Mean Fitness: -17.83569662	QD Score: -231.86405609
[2500/10000]	Chromosomes: 2500	Cells: 14	Coverage: 0.00534058%	Max Fitness: -15.36512561	Mean Fitness: -17.82652290	QD Score: -249.57132067
[3000/10000]	Chromosomes: 3000	Cells: 17	Coverage: 0.00648499%	Max Fitness: -15.36512561	Mean Fitness: -17.74920769	QD Score: -301.73653081
[3500/10000]	Chromosomes: 3500	Cells: 18	Coverage: 0.00686646%	Max Fitness: -15.30828086	Mean Fitness: -17.61625922	QD Score: -317.09266592
[4000/10000]	Chromosomes: 4000	Cells: 21	Coverage: 0.00801086%	Max Fitness: -15.30828086	Mean Fitness: -17.62117292	QD Score: -370.04463139
[4500/10000]	Chromosomes: 4500	Cells: 24	Coverage: 0.00915527%	Max Fitness: -15.30828086	Mean Fitness: -17.80902292	QD Score: -427.41654999
[5000/10000]	Chromosomes: 5000	Cells: 27	Coverage: 0.01029968%	Max Fitness: -15.30828086	Mean Fitness: -17.74711247	QD Score: -479.17203665
[5500/10000]	Chromosomes: 5500	Cells: 31	Coverage: 0.01182556%	Max Fitness: -15.30828086	Mean Fitness: -17.70863078	QD Score: -548.96755413
[6000/10000]	Chromosomes: 6000	Cells: 32	Coverage: 0.01220703%	Max Fitness: -15.00587425	Mean Fitness: -17.66728892	QD Score: -565.35324558
[6500/10000]	Chromosomes: 6500	Cells: 33	Coverage: 0.01258850%	Max Fitness: -15.00587425	Mean Fitness: -17.43719399	QD Score: -575.42740164
[7000/10000]	Chromosomes: 7000	Cells: 35	Coverage: 0.01335144%	Max Fitness: -15.00587425	Mean Fitness: -17.47833996	QD Score: -611.74189877
[7500/10000]	Chromosomes: 7500	Cells: 35	Coverage: 0.01335144%	Max Fitness: -15.00587425	Mean Fitness: -17.44505364	QD Score: -610.57687723
[8000/10000]	Chromosomes: 8000	Cells: 38	Coverage: 0.01449585%	Max Fitness: -15.00587425	Mean Fitness: -17.48013691	QD Score: -664.24520244
[8500/10000]	Chromosomes: 8500	Cells: 39	Coverage: 0.01487732%	Max Fitness: -15.00587425	Mean Fitness: -17.48285870	QD Score: -681.83148928
[9000/10000]	Chromosomes: 9000	Cells: 41	Coverage: 0.01564026%	Max Fitness: -15.00587425	Mean Fitness: -17.53908947	QD Score: -719.10266829
[9500/10000]	Chromosomes: 9500	Cells: 43	Coverage: 0.01640320%	Max Fitness: -15.00587425	Mean Fitness: -17.52797246	QD Score: -753.70281560
[10000/10000]	Chromosomes: 10000	Cells: 44	Coverage: 0.01678467%	Max Fitness: -15.00587425	Mean Fitness: -17.48941601	QD Score: -769.53430460
