[000500/100000]	Cells: 13  Coverage: 0.00495911%		Max Fitness: 0.06704450	Mean Fitness: 0.06615278	Min Fitness: 0.06450199	QD Score: 0.85998613
[001000/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.07543821	Mean Fitness: 0.06634017	Min Fitness: 0.06342620	QD Score: 1.39314355
[001500/100000]	Cells: 33  Coverage: 0.01258850%		Max Fitness: 0.07561972	Mean Fitness: 0.06627804	Min Fitness: 0.06182304	QD Score: 2.18717540
[002000/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.07561972	Mean Fitness: 0.06691473	Min Fitness: 0.06182304	QD Score: 2.74350398
[002500/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.07561972	Mean Fitness: 0.06663835	Min Fitness: 0.05960889	QD Score: 3.53183235
[003000/100000]	Cells: 64  Coverage: 0.02441406%		Max Fitness: 0.07561972	Mean Fitness: 0.06651734	Min Fitness: 0.05960889	QD Score: 4.25710984
[003500/100000]	Cells: 73  Coverage: 0.02784729%		Max Fitness: 0.07561972	Mean Fitness: 0.06647476	Min Fitness: 0.05960889	QD Score: 4.85265772
[004000/100000]	Cells: 77  Coverage: 0.02937317%		Max Fitness: 0.07561972	Mean Fitness: 0.06661157	Min Fitness: 0.05960889	QD Score: 5.12909068
[004500/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.07561972	Mean Fitness: 0.06643719	Min Fitness: 0.05960889	QD Score: 5.38141235
[005000/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.07561972	Mean Fitness: 0.06651321	Min Fitness: 0.05960889	QD Score: 5.58710948
[005500/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.07644218	Mean Fitness: 0.06650025	Min Fitness: 0.05960889	QD Score: 6.11802315
[006000/100000]	Cells: 100  Coverage: 0.03814697%		Max Fitness: 0.07644218	Mean Fitness: 0.06641334	Min Fitness: 0.05960889	QD Score: 6.64133440
[006500/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07644218	Mean Fitness: 0.06640549	Min Fitness: 0.05960889	QD Score: 6.83976512
[007000/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07644218	Mean Fitness: 0.06649132	Min Fitness: 0.05960889	QD Score: 7.18106277
[007500/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.07644218	Mean Fitness: 0.06657880	Min Fitness: 0.05960889	QD Score: 7.25708937
