[000500/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.06746288	Mean Fitness: 0.06665606	Min Fitness: 0.06572260	QD Score: 0.39993634
[001000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.06793859	Mean Fitness: 0.06591262	Min Fitness: 0.06271224	QD Score: 1.05460188
[001500/100000]	Cells: 20  Coverage: 0.00762939%		Max Fitness: 0.07434364	Mean Fitness: 0.06692004	Min Fitness: 0.06271224	QD Score: 1.33840089
[002000/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.07488900	Mean Fitness: 0.06662116	Min Fitness: 0.06109576	QD Score: 1.73215027
[002500/100000]	Cells: 32  Coverage: 0.01220703%		Max Fitness: 0.07488900	Mean Fitness: 0.06723693	Min Fitness: 0.06109576	QD Score: 2.15158188
[003000/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.07488900	Mean Fitness: 0.06682186	Min Fitness: 0.06012623	QD Score: 2.60605272
[003500/100000]	Cells: 45  Coverage: 0.01716614%		Max Fitness: 0.07488900	Mean Fitness: 0.06645001	Min Fitness: 0.05966289	QD Score: 2.99025048
[004000/100000]	Cells: 55  Coverage: 0.02098083%		Max Fitness: 0.07488900	Mean Fitness: 0.06637269	Min Fitness: 0.05936743	QD Score: 3.65049789
[004500/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.07488900	Mean Fitness: 0.06636757	Min Fitness: 0.05936743	QD Score: 4.11478926
[005000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.07488900	Mean Fitness: 0.06635160	Min Fitness: 0.05936743	QD Score: 4.57826029
[005500/100000]	Cells: 72  Coverage: 0.02746582%		Max Fitness: 0.07595238	Mean Fitness: 0.06656837	Min Fitness: 0.05966289	QD Score: 4.79292291
[006000/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.07595238	Mean Fitness: 0.06639026	Min Fitness: 0.05966289	QD Score: 5.31122109
[006500/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.07595238	Mean Fitness: 0.06632870	Min Fitness: 0.05966289	QD Score: 5.83692558
[007000/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07595238	Mean Fitness: 0.06618458	Min Fitness: 0.05966289	QD Score: 6.35371927
[007500/100000]	Cells: 100  Coverage: 0.03814697%		Max Fitness: 0.07595238	Mean Fitness: 0.06629005	Min Fitness: 0.05966289	QD Score: 6.62900534
[008000/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.07614886	Mean Fitness: 0.06651201	Min Fitness: 0.05966289	QD Score: 6.78422490
