[000500/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.06745800	Mean Fitness: 0.06661083	Min Fitness: 0.06572260	QD Score: 0.46627584
[001000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.06800149	Mean Fitness: 0.06607781	Min Fitness: 0.06410687	QD Score: 1.05724497
[001500/100000]	Cells: 28  Coverage: 0.01068115%		Max Fitness: 0.07518839	Mean Fitness: 0.06630727	Min Fitness: 0.06207138	QD Score: 1.85660358
[002000/100000]	Cells: 32  Coverage: 0.01220703%		Max Fitness: 0.07518839	Mean Fitness: 0.06661767	Min Fitness: 0.06043821	QD Score: 2.13176541
[002500/100000]	Cells: 42  Coverage: 0.01602173%		Max Fitness: 0.07518839	Mean Fitness: 0.06635750	Min Fitness: 0.06084564	QD Score: 2.78701521
[003000/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.07518839	Mean Fitness: 0.06654608	Min Fitness: 0.06084564	QD Score: 3.06111988
[003500/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.07533488	Mean Fitness: 0.06676299	Min Fitness: 0.06051493	QD Score: 3.60520131
[004000/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.07533488	Mean Fitness: 0.06670240	Min Fitness: 0.06051493	QD Score: 4.20225126
[004500/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.07533488	Mean Fitness: 0.06654335	Min Fitness: 0.06149202	QD Score: 4.59149145
[005000/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.07533488	Mean Fitness: 0.06627525	Min Fitness: 0.05995227	QD Score: 5.30201992
[005500/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.07533488	Mean Fitness: 0.06637987	Min Fitness: 0.06012804	QD Score: 5.77504885
[006000/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.07698213	Mean Fitness: 0.06646475	Min Fitness: 0.05988426	QD Score: 6.11475722
[006500/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07698213	Mean Fitness: 0.06658909	Min Fitness: 0.05988426	QD Score: 6.39255264
[007000/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07698213	Mean Fitness: 0.06669685	Min Fitness: 0.05988426	QD Score: 6.86977522
[007500/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.07698213	Mean Fitness: 0.06669319	Min Fitness: 0.05988426	QD Score: 7.33625119
[008000/100000]	Cells: 114  Coverage: 0.04348755%		Max Fitness: 0.07698213	Mean Fitness: 0.06662015	Min Fitness: 0.05958716	QD Score: 7.59469722
[008500/100000]	Cells: 122  Coverage: 0.04653931%		Max Fitness: 0.07698213	Mean Fitness: 0.06642207	Min Fitness: 0.05808821	QD Score: 8.10349276
[009000/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07698213	Mean Fitness: 0.06635384	Min Fitness: 0.05808821	QD Score: 8.36058437
[009500/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.07698213	Mean Fitness: 0.06636280	Min Fitness: 0.05808821	QD Score: 8.75989003
[010000/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.07698213	Mean Fitness: 0.06620713	Min Fitness: 0.05808821	QD Score: 9.26899884
[010500/100000]	Cells: 145  Coverage: 0.05531311%		Max Fitness: 0.07698213	Mean Fitness: 0.06632593	Min Fitness: 0.05808821	QD Score: 9.61725947
[011000/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.07698213	Mean Fitness: 0.06621310	Min Fitness: 0.05808821	QD Score: 10.06439044
[011500/100000]	Cells: 156  Coverage: 0.05950928%		Max Fitness: 0.07698213	Mean Fitness: 0.06618004	Min Fitness: 0.05808821	QD Score: 10.32408631
[012000/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07698213	Mean Fitness: 0.06621728	Min Fitness: 0.05808821	QD Score: 10.46233005
[012500/100000]	Cells: 165  Coverage: 0.06294250%		Max Fitness: 0.07698213	Mean Fitness: 0.06616902	Min Fitness: 0.05808821	QD Score: 10.91788868
