[000500/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.06704450	Mean Fitness: 0.06655065	Min Fitness: 0.06577062	QD Score: 0.53240524
[001000/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.07481821	Mean Fitness: 0.06721629	Min Fitness: 0.06425610	QD Score: 1.27710956
[001500/100000]	Cells: 32  Coverage: 0.01220703%		Max Fitness: 0.07561972	Mean Fitness: 0.06726013	Min Fitness: 0.06203791	QD Score: 2.15232405
[002000/100000]	Cells: 42  Coverage: 0.01602173%		Max Fitness: 0.07561972	Mean Fitness: 0.06704170	Min Fitness: 0.06203791	QD Score: 2.81575159
[002500/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.07561972	Mean Fitness: 0.06725877	Min Fitness: 0.06203791	QD Score: 3.09390358
[003000/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.07561972	Mean Fitness: 0.06669587	Min Fitness: 0.06014431	QD Score: 4.00175205
[003500/100000]	Cells: 68  Coverage: 0.02593994%		Max Fitness: 0.07561972	Mean Fitness: 0.06669491	Min Fitness: 0.06014431	QD Score: 4.53525358
[004000/100000]	Cells: 77  Coverage: 0.02937317%		Max Fitness: 0.07561972	Mean Fitness: 0.06641061	Min Fitness: 0.06014431	QD Score: 5.11361696
[004500/100000]	Cells: 85  Coverage: 0.03242493%		Max Fitness: 0.07561972	Mean Fitness: 0.06659286	Min Fitness: 0.06014431	QD Score: 5.66039274
[005000/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.07561972	Mean Fitness: 0.06667372	Min Fitness: 0.06014431	QD Score: 5.93396088
[005500/100000]	Cells: 94  Coverage: 0.03585815%		Max Fitness: 0.07561972	Mean Fitness: 0.06680454	Min Fitness: 0.06014431	QD Score: 6.27962714
[006000/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07561972	Mean Fitness: 0.06671282	Min Fitness: 0.06014431	QD Score: 6.87142049
[006500/100000]	Cells: 105  Coverage: 0.04005432%		Max Fitness: 0.07561972	Mean Fitness: 0.06687819	Min Fitness: 0.06034361	QD Score: 7.02220999
[007000/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.07561972	Mean Fitness: 0.06665000	Min Fitness: 0.06034361	QD Score: 7.99799995
[007500/100000]	Cells: 127  Coverage: 0.04844666%		Max Fitness: 0.07561972	Mean Fitness: 0.06661955	Min Fitness: 0.06034361	QD Score: 8.46068251
[008000/100000]	Cells: 133  Coverage: 0.05073547%		Max Fitness: 0.07561972	Mean Fitness: 0.06676604	Min Fitness: 0.06034361	QD Score: 8.87988371
[008500/100000]	Cells: 138  Coverage: 0.05264282%		Max Fitness: 0.07561972	Mean Fitness: 0.06674560	Min Fitness: 0.06034361	QD Score: 9.21089258
[009000/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.07561972	Mean Fitness: 0.06674335	Min Fitness: 0.06041305	QD Score: 9.34406902
[009500/100000]	Cells: 145  Coverage: 0.05531311%		Max Fitness: 0.07561972	Mean Fitness: 0.06667520	Min Fitness: 0.05969198	QD Score: 9.66790393
[010000/100000]	Cells: 149  Coverage: 0.05683899%		Max Fitness: 0.07561972	Mean Fitness: 0.06666381	Min Fitness: 0.05969198	QD Score: 9.93290808
[010500/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07561972	Mean Fitness: 0.06665471	Min Fitness: 0.05904436	QD Score: 10.26482478
[011000/100000]	Cells: 159  Coverage: 0.06065369%		Max Fitness: 0.07561972	Mean Fitness: 0.06661226	Min Fitness: 0.05904436	QD Score: 10.59135001
[011500/100000]	Cells: 163  Coverage: 0.06217957%		Max Fitness: 0.07561972	Mean Fitness: 0.06660489	Min Fitness: 0.05904436	QD Score: 10.85659676
