[000500/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.06749703	Mean Fitness: 0.06642341	Min Fitness: 0.06548962	QD Score: 0.53138726
[001000/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.07490737	Mean Fitness: 0.06580132	Min Fitness: 0.06242690	QD Score: 1.18442378
[001500/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.07490737	Mean Fitness: 0.06569534	Min Fitness: 0.06132814	QD Score: 1.70807896
[002000/100000]	Cells: 38  Coverage: 0.01449585%		Max Fitness: 0.07490737	Mean Fitness: 0.06577884	Min Fitness: 0.06081180	QD Score: 2.49959594
[002500/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.07490737	Mean Fitness: 0.06577689	Min Fitness: 0.06095271	QD Score: 2.89418304
[003000/100000]	Cells: 47  Coverage: 0.01792908%		Max Fitness: 0.07490737	Mean Fitness: 0.06586295	Min Fitness: 0.06095271	QD Score: 3.09555885
[003500/100000]	Cells: 51  Coverage: 0.01945496%		Max Fitness: 0.07516677	Mean Fitness: 0.06651684	Min Fitness: 0.06095271	QD Score: 3.39235868
[004000/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.07516677	Mean Fitness: 0.06647014	Min Fitness: 0.06095271	QD Score: 3.72232775
[004500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.07516677	Mean Fitness: 0.06614230	Min Fitness: 0.05985262	QD Score: 4.16696521
[005000/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07516677	Mean Fitness: 0.06591258	Min Fitness: 0.05684899	QD Score: 4.61388042
[005500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.07545512	Mean Fitness: 0.06605581	Min Fitness: 0.05684899	QD Score: 5.02024176
[006000/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.07545512	Mean Fitness: 0.06622524	Min Fitness: 0.05684899	QD Score: 5.56292042
[006500/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.07545512	Mean Fitness: 0.06629348	Min Fitness: 0.05684899	QD Score: 5.90011930
[007000/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.07639351	Mean Fitness: 0.06630867	Min Fitness: 0.05684899	QD Score: 6.76348462
[007500/100000]	Cells: 106  Coverage: 0.04043579%		Max Fitness: 0.07639351	Mean Fitness: 0.06643377	Min Fitness: 0.05684899	QD Score: 7.04197956
[008000/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.07639351	Mean Fitness: 0.06633520	Min Fitness: 0.05684899	QD Score: 7.42954184
[008500/100000]	Cells: 119  Coverage: 0.04539490%		Max Fitness: 0.07639351	Mean Fitness: 0.06631508	Min Fitness: 0.05684899	QD Score: 7.89149473
[009000/100000]	Cells: 125  Coverage: 0.04768372%		Max Fitness: 0.07639351	Mean Fitness: 0.06623163	Min Fitness: 0.05684899	QD Score: 8.27895373
[009500/100000]	Cells: 131  Coverage: 0.04997253%		Max Fitness: 0.07639351	Mean Fitness: 0.06642081	Min Fitness: 0.05684899	QD Score: 8.70112670
[010000/100000]	Cells: 135  Coverage: 0.05149841%		Max Fitness: 0.07639351	Mean Fitness: 0.06644705	Min Fitness: 0.05684899	QD Score: 8.97035113
