[000500/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.06704450	Mean Fitness: 0.06604062	Min Fitness: 0.06439688	QD Score: 0.72644683
[001000/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.07505218	Mean Fitness: 0.06633762	Min Fitness: 0.06383361	QD Score: 1.26041471
[001500/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.07505218	Mean Fitness: 0.06585520	Min Fitness: 0.06035297	QD Score: 1.90980070
[002000/100000]	Cells: 38  Coverage: 0.01449585%		Max Fitness: 0.07619591	Mean Fitness: 0.06583315	Min Fitness: 0.05841045	QD Score: 2.50165956
[002500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.07619591	Mean Fitness: 0.06596662	Min Fitness: 0.05841045	QD Score: 2.83656470
[003000/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.07619591	Mean Fitness: 0.06613947	Min Fitness: 0.05841045	QD Score: 3.57153113
[003500/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.07619591	Mean Fitness: 0.06638673	Min Fitness: 0.05841045	QD Score: 3.98320361
[004000/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.07619591	Mean Fitness: 0.06651699	Min Fitness: 0.05850591	QD Score: 4.45663862
[004500/100000]	Cells: 73  Coverage: 0.02784729%		Max Fitness: 0.07619591	Mean Fitness: 0.06644684	Min Fitness: 0.05831418	QD Score: 4.85061929
[005000/100000]	Cells: 85  Coverage: 0.03242493%		Max Fitness: 0.07619591	Mean Fitness: 0.06655106	Min Fitness: 0.05831418	QD Score: 5.65683988
[005500/100000]	Cells: 90  Coverage: 0.03433228%		Max Fitness: 0.07619591	Mean Fitness: 0.06643019	Min Fitness: 0.05831418	QD Score: 5.97871725
[006000/100000]	Cells: 98  Coverage: 0.03738403%		Max Fitness: 0.07619591	Mean Fitness: 0.06649939	Min Fitness: 0.05831418	QD Score: 6.51694026
[006500/100000]	Cells: 100  Coverage: 0.03814697%		Max Fitness: 0.07700919	Mean Fitness: 0.06652285	Min Fitness: 0.05831418	QD Score: 6.65228543
[007000/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.07700919	Mean Fitness: 0.06671262	Min Fitness: 0.05831418	QD Score: 6.93811210
[007500/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.07700919	Mean Fitness: 0.06671404	Min Fitness: 0.05831418	QD Score: 7.27183008
[008000/100000]	Cells: 113  Coverage: 0.04310608%		Max Fitness: 0.07700919	Mean Fitness: 0.06664614	Min Fitness: 0.05831418	QD Score: 7.53101387
[008500/100000]	Cells: 117  Coverage: 0.04463196%		Max Fitness: 0.07700919	Mean Fitness: 0.06667416	Min Fitness: 0.05831418	QD Score: 7.80087616
[009000/100000]	Cells: 123  Coverage: 0.04692078%		Max Fitness: 0.07700919	Mean Fitness: 0.06666993	Min Fitness: 0.05831418	QD Score: 8.20040115
[009500/100000]	Cells: 127  Coverage: 0.04844666%		Max Fitness: 0.07700919	Mean Fitness: 0.06656706	Min Fitness: 0.05831418	QD Score: 8.45401691
[010000/100000]	Cells: 133  Coverage: 0.05073547%		Max Fitness: 0.07700919	Mean Fitness: 0.06654568	Min Fitness: 0.05950902	QD Score: 8.85057531
[010500/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.07700919	Mean Fitness: 0.06641228	Min Fitness: 0.05917932	QD Score: 9.29771984
[011000/100000]	Cells: 147  Coverage: 0.05607605%		Max Fitness: 0.07700919	Mean Fitness: 0.06648420	Min Fitness: 0.05917932	QD Score: 9.77317713
[011500/100000]	Cells: 150  Coverage: 0.05722046%		Max Fitness: 0.07700919	Mean Fitness: 0.06656706	Min Fitness: 0.05917932	QD Score: 9.98505959
[012000/100000]	Cells: 155  Coverage: 0.05912781%		Max Fitness: 0.07700919	Mean Fitness: 0.06647092	Min Fitness: 0.05917932	QD Score: 10.30299259
[012500/100000]	Cells: 156  Coverage: 0.05950928%		Max Fitness: 0.07700919	Mean Fitness: 0.06645474	Min Fitness: 0.05917932	QD Score: 10.36694016
[013000/100000]	Cells: 168  Coverage: 0.06408691%		Max Fitness: 0.07700919	Mean Fitness: 0.06629825	Min Fitness: 0.05917932	QD Score: 11.13810644
