[000500/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.06704450	Mean Fitness: 0.06615447	Min Fitness: 0.06495550	QD Score: 0.52923579
[001000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07330677	Mean Fitness: 0.06623534	Min Fitness: 0.06365619	QD Score: 1.05976545
[001500/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.07330677	Mean Fitness: 0.06615543	Min Fitness: 0.06360430	QD Score: 1.78619659
[002000/100000]	Cells: 37  Coverage: 0.01411438%		Max Fitness: 0.07611914	Mean Fitness: 0.06632196	Min Fitness: 0.06282643	QD Score: 2.45391239
[002500/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.07611914	Mean Fitness: 0.06635247	Min Fitness: 0.06282643	QD Score: 2.65409878
[003000/100000]	Cells: 50  Coverage: 0.01907349%		Max Fitness: 0.07611914	Mean Fitness: 0.06651678	Min Fitness: 0.06062070	QD Score: 3.32583902
[003500/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.07611914	Mean Fitness: 0.06635594	Min Fitness: 0.05994439	QD Score: 3.91500047
[004000/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.07611914	Mean Fitness: 0.06621167	Min Fitness: 0.05994439	QD Score: 4.10512361
[004500/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07611914	Mean Fitness: 0.06598113	Min Fitness: 0.05994439	QD Score: 4.61867900
[005000/100000]	Cells: 77  Coverage: 0.02937317%		Max Fitness: 0.07611914	Mean Fitness: 0.06604502	Min Fitness: 0.05994439	QD Score: 5.08546656
[005500/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.07611914	Mean Fitness: 0.06583147	Min Fitness: 0.05980375	QD Score: 5.52984372
[006000/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.07611914	Mean Fitness: 0.06573451	Min Fitness: 0.05836289	QD Score: 6.04757536
[006500/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07611914	Mean Fitness: 0.06577889	Min Fitness: 0.05836289	QD Score: 6.31477299
[007000/100000]	Cells: 106  Coverage: 0.04043579%		Max Fitness: 0.07611914	Mean Fitness: 0.06576291	Min Fitness: 0.05836289	QD Score: 6.97086872
[007500/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.07611914	Mean Fitness: 0.06591145	Min Fitness: 0.05836289	QD Score: 7.25025915
[008000/100000]	Cells: 113  Coverage: 0.04310608%		Max Fitness: 0.07611914	Mean Fitness: 0.06586558	Min Fitness: 0.05836289	QD Score: 7.44281016
[008500/100000]	Cells: 117  Coverage: 0.04463196%		Max Fitness: 0.07611914	Mean Fitness: 0.06585192	Min Fitness: 0.05836289	QD Score: 7.70467491
[009000/100000]	Cells: 123  Coverage: 0.04692078%		Max Fitness: 0.07611914	Mean Fitness: 0.06574327	Min Fitness: 0.05836289	QD Score: 8.08642263
[009500/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07611914	Mean Fitness: 0.06576446	Min Fitness: 0.05836289	QD Score: 8.41785100
[010000/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.07611914	Mean Fitness: 0.06579849	Min Fitness: 0.05836289	QD Score: 8.68540030
[010500/100000]	Cells: 135  Coverage: 0.05149841%		Max Fitness: 0.07611914	Mean Fitness: 0.06570032	Min Fitness: 0.05836289	QD Score: 8.86954260
[011000/100000]	Cells: 139  Coverage: 0.05302429%		Max Fitness: 0.07611914	Mean Fitness: 0.06577372	Min Fitness: 0.05836289	QD Score: 9.14254682
[011500/100000]	Cells: 141  Coverage: 0.05378723%		Max Fitness: 0.07611914	Mean Fitness: 0.06590661	Min Fitness: 0.05836289	QD Score: 9.29283160
[012000/100000]	Cells: 144  Coverage: 0.05493164%		Max Fitness: 0.07611914	Mean Fitness: 0.06590750	Min Fitness: 0.05831394	QD Score: 9.49068015
[012500/100000]	Cells: 148  Coverage: 0.05645752%		Max Fitness: 0.07611914	Mean Fitness: 0.06588892	Min Fitness: 0.05831394	QD Score: 9.75155948
[013000/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.07611914	Mean Fitness: 0.06579398	Min Fitness: 0.05831394	QD Score: 10.00068426
[013500/100000]	Cells: 157  Coverage: 0.05989075%		Max Fitness: 0.07611914	Mean Fitness: 0.06576744	Min Fitness: 0.05831394	QD Score: 10.32548831
[014000/100000]	Cells: 160  Coverage: 0.06103516%		Max Fitness: 0.07611914	Mean Fitness: 0.06573288	Min Fitness: 0.05831394	QD Score: 10.51726081
[014500/100000]	Cells: 161  Coverage: 0.06141663%		Max Fitness: 0.07611914	Mean Fitness: 0.06577684	Min Fitness: 0.05831394	QD Score: 10.59007057
