[000500/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.06704450	Mean Fitness: 0.06595170	Min Fitness: 0.06405001	QD Score: 0.46166190
[001000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07513676	Mean Fitness: 0.06772544	Min Fitness: 0.06404548	QD Score: 1.08360709
[001500/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.07513676	Mean Fitness: 0.06835092	Min Fitness: 0.06399825	QD Score: 1.29866746
[002000/100000]	Cells: 28  Coverage: 0.01068115%		Max Fitness: 0.07513676	Mean Fitness: 0.06733234	Min Fitness: 0.06113088	QD Score: 1.88530564
[002500/100000]	Cells: 32  Coverage: 0.01220703%		Max Fitness: 0.07513676	Mean Fitness: 0.06710357	Min Fitness: 0.06044817	QD Score: 2.14731435
[003000/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.07513676	Mean Fitness: 0.06681232	Min Fitness: 0.06044817	QD Score: 2.67249271
[003500/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.07513676	Mean Fitness: 0.06690669	Min Fitness: 0.06044817	QD Score: 3.54605481
[004000/100000]	Cells: 57  Coverage: 0.02174377%		Max Fitness: 0.07801794	Mean Fitness: 0.06699654	Min Fitness: 0.06044817	QD Score: 3.81880264
[004500/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.07801794	Mean Fitness: 0.06688246	Min Fitness: 0.06044817	QD Score: 4.01294734
[005000/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07801794	Mean Fitness: 0.06630118	Min Fitness: 0.05816732	QD Score: 4.64108258
[005500/100000]	Cells: 78  Coverage: 0.02975464%		Max Fitness: 0.07801794	Mean Fitness: 0.06614895	Min Fitness: 0.05816732	QD Score: 5.15961813
[006000/100000]	Cells: 83  Coverage: 0.03166199%		Max Fitness: 0.07801794	Mean Fitness: 0.06617842	Min Fitness: 0.05816732	QD Score: 5.49280902
[006500/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.07801794	Mean Fitness: 0.06628562	Min Fitness: 0.05816732	QD Score: 5.76684869
[007000/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.07801794	Mean Fitness: 0.06618467	Min Fitness: 0.05816732	QD Score: 6.15517412
[007500/100000]	Cells: 98  Coverage: 0.03738403%		Max Fitness: 0.07801794	Mean Fitness: 0.06613226	Min Fitness: 0.05816732	QD Score: 6.48096196
[008000/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.07801794	Mean Fitness: 0.06613698	Min Fitness: 0.05816732	QD Score: 6.87824575
[008500/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.07801794	Mean Fitness: 0.06611860	Min Fitness: 0.05816732	QD Score: 7.07469027
[009000/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.07801794	Mean Fitness: 0.06614095	Min Fitness: 0.05816732	QD Score: 7.40778590
[009500/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.07801794	Mean Fitness: 0.06597185	Min Fitness: 0.05816732	QD Score: 7.78467860
[010000/100000]	Cells: 122  Coverage: 0.04653931%		Max Fitness: 0.07801794	Mean Fitness: 0.06608477	Min Fitness: 0.05816732	QD Score: 8.06234226
[010500/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07801794	Mean Fitness: 0.06603418	Min Fitness: 0.05816732	QD Score: 8.32030653
[011000/100000]	Cells: 130  Coverage: 0.04959106%		Max Fitness: 0.07801794	Mean Fitness: 0.06592151	Min Fitness: 0.05816732	QD Score: 8.56979615
[011500/100000]	Cells: 135  Coverage: 0.05149841%		Max Fitness: 0.07801794	Mean Fitness: 0.06579708	Min Fitness: 0.05816732	QD Score: 8.88260595
[012000/100000]	Cells: 139  Coverage: 0.05302429%		Max Fitness: 0.07801794	Mean Fitness: 0.06586287	Min Fitness: 0.05816732	QD Score: 9.15493860
