[000500/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.06637029	Mean Fitness: 0.06545707	Min Fitness: 0.06403907	QD Score: 0.52365652
[001000/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.07309551	Mean Fitness: 0.06590812	Min Fitness: 0.06307105	QD Score: 1.51588666
[001500/100000]	Cells: 32  Coverage: 0.01220703%		Max Fitness: 0.07309551	Mean Fitness: 0.06616637	Min Fitness: 0.06307105	QD Score: 2.11732393
[002000/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.07619591	Mean Fitness: 0.06598533	Min Fitness: 0.06212611	QD Score: 3.03532517
[002500/100000]	Cells: 61  Coverage: 0.02326965%		Max Fitness: 0.07619591	Mean Fitness: 0.06570613	Min Fitness: 0.06082914	QD Score: 4.00807412
[003000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.07619591	Mean Fitness: 0.06601404	Min Fitness: 0.06082914	QD Score: 4.55496902
[003500/100000]	Cells: 77  Coverage: 0.02937317%		Max Fitness: 0.07619591	Mean Fitness: 0.06586193	Min Fitness: 0.06063983	QD Score: 5.07136892
[004000/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.07619591	Mean Fitness: 0.06593504	Min Fitness: 0.06059706	QD Score: 5.53854366
[004500/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.07619591	Mean Fitness: 0.06584510	Min Fitness: 0.06006982	QD Score: 6.12359462
[005000/100000]	Cells: 100  Coverage: 0.03814697%		Max Fitness: 0.07619591	Mean Fitness: 0.06587582	Min Fitness: 0.06006982	QD Score: 6.58758190
[005500/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.07619591	Mean Fitness: 0.06590268	Min Fitness: 0.06006982	QD Score: 6.85387859
[006000/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07619591	Mean Fitness: 0.06590873	Min Fitness: 0.06006982	QD Score: 7.11814327
[006500/100000]	Cells: 113  Coverage: 0.04310608%		Max Fitness: 0.07619591	Mean Fitness: 0.06586644	Min Fitness: 0.06006982	QD Score: 7.44290721
[007000/100000]	Cells: 119  Coverage: 0.04539490%		Max Fitness: 0.07619591	Mean Fitness: 0.06582377	Min Fitness: 0.05801550	QD Score: 7.83302825
[007500/100000]	Cells: 124  Coverage: 0.04730225%		Max Fitness: 0.07619591	Mean Fitness: 0.06582841	Min Fitness: 0.05801550	QD Score: 8.16272337
[008000/100000]	Cells: 128  Coverage: 0.04882813%		Max Fitness: 0.07619591	Mean Fitness: 0.06585556	Min Fitness: 0.05801550	QD Score: 8.42951216
[008500/100000]	Cells: 134  Coverage: 0.05111694%		Max Fitness: 0.07619591	Mean Fitness: 0.06586776	Min Fitness: 0.05801550	QD Score: 8.82628002
[009000/100000]	Cells: 140  Coverage: 0.05340576%		Max Fitness: 0.07619591	Mean Fitness: 0.06591064	Min Fitness: 0.05801550	QD Score: 9.22748962
[009500/100000]	Cells: 148  Coverage: 0.05645752%		Max Fitness: 0.07619591	Mean Fitness: 0.06592001	Min Fitness: 0.05801550	QD Score: 9.75616130
[010000/100000]	Cells: 151  Coverage: 0.05760193%		Max Fitness: 0.07619591	Mean Fitness: 0.06588433	Min Fitness: 0.05801550	QD Score: 9.94853410
[010500/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07619591	Mean Fitness: 0.06596053	Min Fitness: 0.05801550	QD Score: 10.15792156
[011000/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07619591	Mean Fitness: 0.06596173	Min Fitness: 0.05801550	QD Score: 10.42195260
[011500/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07619591	Mean Fitness: 0.06597850	Min Fitness: 0.05801550	QD Score: 10.42460379
[012000/100000]	Cells: 165  Coverage: 0.06294250%		Max Fitness: 0.07619591	Mean Fitness: 0.06589250	Min Fitness: 0.05801550	QD Score: 10.87226272
[012500/100000]	Cells: 171  Coverage: 0.06523132%		Max Fitness: 0.07619591	Mean Fitness: 0.06598873	Min Fitness: 0.05801550	QD Score: 11.28407204
[013000/100000]	Cells: 177  Coverage: 0.06752014%		Max Fitness: 0.07619591	Mean Fitness: 0.06601202	Min Fitness: 0.05728553	QD Score: 11.68412759
[013500/100000]	Cells: 181  Coverage: 0.06904602%		Max Fitness: 0.07619591	Mean Fitness: 0.06598465	Min Fitness: 0.05728553	QD Score: 11.94322226
[014000/100000]	Cells: 187  Coverage: 0.07133484%		Max Fitness: 0.07619591	Mean Fitness: 0.06606699	Min Fitness: 0.05727100	QD Score: 12.35452714
[014500/100000]	Cells: 190  Coverage: 0.07247925%		Max Fitness: 0.07619591	Mean Fitness: 0.06612560	Min Fitness: 0.05727100	QD Score: 12.56386394
[015000/100000]	Cells: 192  Coverage: 0.07324219%		Max Fitness: 0.07619591	Mean Fitness: 0.06618321	Min Fitness: 0.05727100	QD Score: 12.70717539
[015500/100000]	Cells: 195  Coverage: 0.07438660%		Max Fitness: 0.07619591	Mean Fitness: 0.06618551	Min Fitness: 0.05727100	QD Score: 12.90617457
[016000/100000]	Cells: 199  Coverage: 0.07591248%		Max Fitness: 0.07619591	Mean Fitness: 0.06611672	Min Fitness: 0.05727100	QD Score: 13.15722691
[016500/100000]	Cells: 199  Coverage: 0.07591248%		Max Fitness: 0.07619591	Mean Fitness: 0.06621768	Min Fitness: 0.05728553	QD Score: 13.17731820
[017000/100000]	Cells: 200  Coverage: 0.07629395%		Max Fitness: 0.07619591	Mean Fitness: 0.06625870	Min Fitness: 0.05728553	QD Score: 13.25173969
[017500/100000]	Cells: 204  Coverage: 0.07781982%		Max Fitness: 0.07619591	Mean Fitness: 0.06625920	Min Fitness: 0.05728553	QD Score: 13.51687674
[018000/100000]	Cells: 207  Coverage: 0.07896423%		Max Fitness: 0.07619591	Mean Fitness: 0.06625151	Min Fitness: 0.05728553	QD Score: 13.71406222
[018500/100000]	Cells: 208  Coverage: 0.07934570%		Max Fitness: 0.07619591	Mean Fitness: 0.06627666	Min Fitness: 0.05728553	QD Score: 13.78554507
[019000/100000]	Cells: 213  Coverage: 0.08125305%		Max Fitness: 0.07619591	Mean Fitness: 0.06620220	Min Fitness: 0.05728553	QD Score: 14.10106828
[019500/100000]	Cells: 215  Coverage: 0.08201599%		Max Fitness: 0.07619591	Mean Fitness: 0.06620106	Min Fitness: 0.05728553	QD Score: 14.23322746
[020000/100000]	Cells: 218  Coverage: 0.08316040%		Max Fitness: 0.07619591	Mean Fitness: 0.06613579	Min Fitness: 0.05728553	QD Score: 14.41760126
[020500/100000]	Cells: 223  Coverage: 0.08506775%		Max Fitness: 0.07619591	Mean Fitness: 0.06611202	Min Fitness: 0.05728553	QD Score: 14.74297949
[021000/100000]	Cells: 226  Coverage: 0.08621216%		Max Fitness: 0.07619591	Mean Fitness: 0.06618519	Min Fitness: 0.05728553	QD Score: 14.95785210
[021500/100000]	Cells: 227  Coverage: 0.08659363%		Max Fitness: 0.07619591	Mean Fitness: 0.06619797	Min Fitness: 0.05728553	QD Score: 15.02693827
[022000/100000]	Cells: 228  Coverage: 0.08697510%		Max Fitness: 0.07619591	Mean Fitness: 0.06619283	Min Fitness: 0.05728553	QD Score: 15.09196624
