[000500/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.06749703	Mean Fitness: 0.06645028	Min Fitness: 0.06479496	QD Score: 0.46515193
[001000/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.07449309	Mean Fitness: 0.06719474	Min Fitness: 0.06402098	QD Score: 1.14231055
[001500/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.07449309	Mean Fitness: 0.06647553	Min Fitness: 0.06073683	QD Score: 1.52893719
[002000/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.07449309	Mean Fitness: 0.06626773	Min Fitness: 0.06073683	QD Score: 2.05429958
[002500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.07449309	Mean Fitness: 0.06583471	Min Fitness: 0.06073683	QD Score: 2.83089271
[003000/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.07484878	Mean Fitness: 0.06632530	Min Fitness: 0.06073683	QD Score: 3.18361459
[003500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.07505218	Mean Fitness: 0.06678184	Min Fitness: 0.06073683	QD Score: 3.73978317
[004000/100000]	Cells: 68  Coverage: 0.02593994%		Max Fitness: 0.07505218	Mean Fitness: 0.06640827	Min Fitness: 0.06015556	QD Score: 4.51576213
[004500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.07505218	Mean Fitness: 0.06628691	Min Fitness: 0.06015556	QD Score: 5.03780547
[005000/100000]	Cells: 85  Coverage: 0.03242493%		Max Fitness: 0.07505218	Mean Fitness: 0.06621721	Min Fitness: 0.06015556	QD Score: 5.62846308
[005500/100000]	Cells: 94  Coverage: 0.03585815%		Max Fitness: 0.07505218	Mean Fitness: 0.06612805	Min Fitness: 0.06015556	QD Score: 6.21603686
[006000/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.07505218	Mean Fitness: 0.06619920	Min Fitness: 0.05960303	QD Score: 6.88471703
[006500/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.07505218	Mean Fitness: 0.06618592	Min Fitness: 0.05960303	QD Score: 7.41282322
[007000/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.07542010	Mean Fitness: 0.06638712	Min Fitness: 0.05960303	QD Score: 7.96645385
[007500/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07542010	Mean Fitness: 0.06649756	Min Fitness: 0.05960303	QD Score: 8.37869240
[008000/100000]	Cells: 132  Coverage: 0.05035400%		Max Fitness: 0.07542010	Mean Fitness: 0.06642032	Min Fitness: 0.05960303	QD Score: 8.76748235
[008500/100000]	Cells: 135  Coverage: 0.05149841%		Max Fitness: 0.07542010	Mean Fitness: 0.06639723	Min Fitness: 0.05960303	QD Score: 8.96362659
[009000/100000]	Cells: 142  Coverage: 0.05416870%		Max Fitness: 0.07542010	Mean Fitness: 0.06633167	Min Fitness: 0.05960303	QD Score: 9.41909751
[009500/100000]	Cells: 147  Coverage: 0.05607605%		Max Fitness: 0.07542010	Mean Fitness: 0.06625464	Min Fitness: 0.05785286	QD Score: 9.73943272
[010000/100000]	Cells: 148  Coverage: 0.05645752%		Max Fitness: 0.07542010	Mean Fitness: 0.06624849	Min Fitness: 0.05785286	QD Score: 9.80477648
[010500/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.07542010	Mean Fitness: 0.06630926	Min Fitness: 0.05785286	QD Score: 10.07900690
[011000/100000]	Cells: 152  Coverage: 0.05798340%		Max Fitness: 0.07542010	Mean Fitness: 0.06644523	Min Fitness: 0.05785286	QD Score: 10.09967539
[011500/100000]	Cells: 154  Coverage: 0.05874634%		Max Fitness: 0.07542010	Mean Fitness: 0.06646345	Min Fitness: 0.05785286	QD Score: 10.23537111
[012000/100000]	Cells: 158  Coverage: 0.06027222%		Max Fitness: 0.07737873	Mean Fitness: 0.06641575	Min Fitness: 0.05785286	QD Score: 10.49368920
[012500/100000]	Cells: 161  Coverage: 0.06141663%		Max Fitness: 0.07737873	Mean Fitness: 0.06650774	Min Fitness: 0.05785286	QD Score: 10.70774588
[013000/100000]	Cells: 168  Coverage: 0.06408691%		Max Fitness: 0.07737873	Mean Fitness: 0.06646108	Min Fitness: 0.05785286	QD Score: 11.16546076
[013500/100000]	Cells: 173  Coverage: 0.06599426%		Max Fitness: 0.07737873	Mean Fitness: 0.06647264	Min Fitness: 0.05785286	QD Score: 11.49976700
[014000/100000]	Cells: 176  Coverage: 0.06713867%		Max Fitness: 0.07737873	Mean Fitness: 0.06653271	Min Fitness: 0.05785286	QD Score: 11.70975660
[014500/100000]	Cells: 185  Coverage: 0.07057190%		Max Fitness: 0.07737873	Mean Fitness: 0.06639178	Min Fitness: 0.05785286	QD Score: 12.28247895
[015000/100000]	Cells: 188  Coverage: 0.07171631%		Max Fitness: 0.07737873	Mean Fitness: 0.06641220	Min Fitness: 0.05686862	QD Score: 12.48549415
