[000500/100000]	Cells: 0  Coverage: 0.00000000%		Max Fitness: -Infinity	Mean Fitness: NaN	Min Fitness: Infinity	QD Score: 0.00000000
[001000/100000]	Cells: 4  Coverage: 0.00152588%		Max Fitness: 0.05608989	Mean Fitness: 0.05182527	Min Fitness: 0.04820474	QD Score: 0.20730107
[001500/100000]	Cells: 4  Coverage: 0.00152588%		Max Fitness: 0.05812818	Mean Fitness: 0.05466421	Min Fitness: 0.05156939	QD Score: 0.21865684
[002000/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.06351429	Mean Fitness: 0.05554987	Min Fitness: 0.05094066	QD Score: 0.38884911
[002500/100000]	Cells: 10  Coverage: 0.00381470%		Max Fitness: 0.06351429	Mean Fitness: 0.05507914	Min Fitness: 0.04970187	QD Score: 0.55079137
[003000/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.06351429	Mean Fitness: 0.05614403	Min Fitness: 0.04970187	QD Score: 0.61758438
[003500/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.06351429	Mean Fitness: 0.05651061	Min Fitness: 0.04970187	QD Score: 0.62161672
[004000/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.06351429	Mean Fitness: 0.05639799	Min Fitness: 0.04970187	QD Score: 0.67677587
[004500/100000]	Cells: 13  Coverage: 0.00495911%		Max Fitness: 0.06351429	Mean Fitness: 0.05659669	Min Fitness: 0.04970187	QD Score: 0.73575697
[005000/100000]	Cells: 14  Coverage: 0.00534058%		Max Fitness: 0.06351429	Mean Fitness: 0.05632531	Min Fitness: 0.04970187	QD Score: 0.78855435
[005500/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.06351429	Mean Fitness: 0.05656642	Min Fitness: 0.04970187	QD Score: 0.84849623
[006000/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.06680230	Mean Fitness: 0.05630690	Min Fitness: 0.04970187	QD Score: 0.95721728
[006500/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.06680230	Mean Fitness: 0.05739249	Min Fitness: 0.04970187	QD Score: 1.03306473
[007000/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.06680230	Mean Fitness: 0.05739249	Min Fitness: 0.04970187	QD Score: 1.03306473
[007500/100000]	Cells: 20  Coverage: 0.00762939%		Max Fitness: 0.06680230	Mean Fitness: 0.05781471	Min Fitness: 0.04970187	QD Score: 1.15629417
[008000/100000]	Cells: 20  Coverage: 0.00762939%		Max Fitness: 0.06753737	Mean Fitness: 0.05834025	Min Fitness: 0.04970187	QD Score: 1.16680498
[008500/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.06753737	Mean Fitness: 0.05821329	Min Fitness: 0.04965542	QD Score: 1.28069238
[009000/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.06753737	Mean Fitness: 0.05840504	Min Fitness: 0.05027901	QD Score: 1.34331603
[009500/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.06753737	Mean Fitness: 0.05872750	Min Fitness: 0.05027901	QD Score: 1.52691487
[010000/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.06753737	Mean Fitness: 0.05840723	Min Fitness: 0.05008038	QD Score: 1.57699525
[010500/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.06753737	Mean Fitness: 0.05873719	Min Fitness: 0.05027901	QD Score: 1.76211560
[011000/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.06753737	Mean Fitness: 0.05858003	Min Fitness: 0.05027901	QD Score: 1.81598083
[011500/100000]	Cells: 34  Coverage: 0.01296997%		Max Fitness: 0.06753737	Mean Fitness: 0.05826085	Min Fitness: 0.04931476	QD Score: 1.98086898
[012000/100000]	Cells: 37  Coverage: 0.01411438%		Max Fitness: 0.06753737	Mean Fitness: 0.05821932	Min Fitness: 0.04931476	QD Score: 2.15411482
[012500/100000]	Cells: 37  Coverage: 0.01411438%		Max Fitness: 0.06753737	Mean Fitness: 0.05834130	Min Fitness: 0.04931476	QD Score: 2.15862796
[013000/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.06753737	Mean Fitness: 0.05821079	Min Fitness: 0.04931476	QD Score: 2.27022063
[013500/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.06753737	Mean Fitness: 0.05827490	Min Fitness: 0.04931476	QD Score: 2.33099604
[014000/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.06753737	Mean Fitness: 0.05825647	Min Fitness: 0.04931476	QD Score: 2.38851520
[014500/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.06753737	Mean Fitness: 0.05849285	Min Fitness: 0.04989832	QD Score: 2.39820668
[015000/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06753737	Mean Fitness: 0.05833393	Min Fitness: 0.04989832	QD Score: 2.50835892
[015500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06753737	Mean Fitness: 0.05853187	Min Fitness: 0.04989832	QD Score: 2.51687055
[016000/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06753737	Mean Fitness: 0.05853187	Min Fitness: 0.04989832	QD Score: 2.51687055
[016500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06753737	Mean Fitness: 0.05871455	Min Fitness: 0.04989832	QD Score: 2.52472558
[017000/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06753737	Mean Fitness: 0.05871455	Min Fitness: 0.04989832	QD Score: 2.52472558
[017500/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06753737	Mean Fitness: 0.05854858	Min Fitness: 0.04989832	QD Score: 2.57613762
[018000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06753737	Mean Fitness: 0.05878206	Min Fitness: 0.04989832	QD Score: 2.58641078
[018500/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.06753737	Mean Fitness: 0.05847343	Min Fitness: 0.04989832	QD Score: 2.68977758
[019000/100000]	Cells: 50  Coverage: 0.01907349%		Max Fitness: 0.06753737	Mean Fitness: 0.05836499	Min Fitness: 0.04989832	QD Score: 2.91824947
[019500/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.06775204	Mean Fitness: 0.05833476	Min Fitness: 0.04989832	QD Score: 3.09174252
[020000/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.06775204	Mean Fitness: 0.05833476	Min Fitness: 0.04989832	QD Score: 3.09174252
[020500/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.06775204	Mean Fitness: 0.05850419	Min Fitness: 0.04989832	QD Score: 3.15922624
[021000/100000]	Cells: 55  Coverage: 0.02098083%		Max Fitness: 0.06775204	Mean Fitness: 0.05848135	Min Fitness: 0.04989832	QD Score: 3.21647425
[021500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.06802322	Mean Fitness: 0.05838684	Min Fitness: 0.04989832	QD Score: 3.26966281
[022000/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.06802322	Mean Fitness: 0.05845830	Min Fitness: 0.04989832	QD Score: 3.27366473
[022500/100000]	Cells: 57  Coverage: 0.02174377%		Max Fitness: 0.06802322	Mean Fitness: 0.05835321	Min Fitness: 0.04989832	QD Score: 3.32613280
[023000/100000]	Cells: 57  Coverage: 0.02174377%		Max Fitness: 0.06802322	Mean Fitness: 0.05837024	Min Fitness: 0.04989832	QD Score: 3.32710376
[023500/100000]	Cells: 58  Coverage: 0.02212524%		Max Fitness: 0.06802322	Mean Fitness: 0.05834859	Min Fitness: 0.04989832	QD Score: 3.38421834
[024000/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.06802322	Mean Fitness: 0.05840068	Min Fitness: 0.04989832	QD Score: 3.44564012
[024500/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.06802322	Mean Fitness: 0.05874932	Min Fitness: 0.04989832	QD Score: 3.52495895
[025000/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.06802322	Mean Fitness: 0.05874932	Min Fitness: 0.04989832	QD Score: 3.52495895
[025500/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.06802322	Mean Fitness: 0.05867139	Min Fitness: 0.04989832	QD Score: 3.63762591
[026000/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06802322	Mean Fitness: 0.05858337	Min Fitness: 0.04989832	QD Score: 3.69075249
[026500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06802322	Mean Fitness: 0.05858801	Min Fitness: 0.04989832	QD Score: 3.69104449
[027000/100000]	Cells: 65  Coverage: 0.02479553%		Max Fitness: 0.06802322	Mean Fitness: 0.05858363	Min Fitness: 0.04989832	QD Score: 3.80793588
[027500/100000]	Cells: 66  Coverage: 0.02517700%		Max Fitness: 0.06802322	Mean Fitness: 0.05847450	Min Fitness: 0.04989832	QD Score: 3.85931714
[028000/100000]	Cells: 68  Coverage: 0.02593994%		Max Fitness: 0.06802322	Mean Fitness: 0.05837225	Min Fitness: 0.04977988	QD Score: 3.96931321
[028500/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.06802322	Mean Fitness: 0.05819611	Min Fitness: 0.04977988	QD Score: 4.07372749
[029000/100000]	Cells: 71  Coverage: 0.02708435%		Max Fitness: 0.06802322	Mean Fitness: 0.05826081	Min Fitness: 0.04977988	QD Score: 4.13651723
[029500/100000]	Cells: 73  Coverage: 0.02784729%		Max Fitness: 0.06802322	Mean Fitness: 0.05820284	Min Fitness: 0.04977988	QD Score: 4.24880720
[030000/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.06802322	Mean Fitness: 0.05811820	Min Fitness: 0.04977988	QD Score: 4.30074663
[030500/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.06802322	Mean Fitness: 0.05818519	Min Fitness: 0.04977988	QD Score: 4.36388898
[031000/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.06802322	Mean Fitness: 0.05818519	Min Fitness: 0.04977988	QD Score: 4.36388898
[031500/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.06802322	Mean Fitness: 0.05833738	Min Fitness: 0.04977988	QD Score: 4.37530367
[032000/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.06802322	Mean Fitness: 0.05833738	Min Fitness: 0.04977988	QD Score: 4.37530367
[032500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.06996062	Mean Fitness: 0.05831679	Min Fitness: 0.04977988	QD Score: 4.43207604
[033000/100000]	Cells: 78  Coverage: 0.02975464%		Max Fitness: 0.06996062	Mean Fitness: 0.05824996	Min Fitness: 0.04917236	QD Score: 4.54349693
[033500/100000]	Cells: 79  Coverage: 0.03013611%		Max Fitness: 0.06996062	Mean Fitness: 0.05827533	Min Fitness: 0.04917236	QD Score: 4.60375080
[034000/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.06996062	Mean Fitness: 0.05833256	Min Fitness: 0.04917236	QD Score: 4.66660456
[034500/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.06996062	Mean Fitness: 0.05848380	Min Fitness: 0.04917236	QD Score: 4.73718762
[035000/100000]	Cells: 82  Coverage: 0.03128052%		Max Fitness: 0.06996062	Mean Fitness: 0.05839335	Min Fitness: 0.04917236	QD Score: 4.78825464
[035500/100000]	Cells: 83  Coverage: 0.03166199%		Max Fitness: 0.06996062	Mean Fitness: 0.05840988	Min Fitness: 0.04917236	QD Score: 4.84801997
[036000/100000]	Cells: 83  Coverage: 0.03166199%		Max Fitness: 0.06996062	Mean Fitness: 0.05840988	Min Fitness: 0.04917236	QD Score: 4.84801997
[036500/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.06996062	Mean Fitness: 0.05836721	Min Fitness: 0.04917236	QD Score: 5.01957973
[037000/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.06996062	Mean Fitness: 0.05833767	Min Fitness: 0.04917236	QD Score: 5.07537772
[037500/100000]	Cells: 90  Coverage: 0.03433228%		Max Fitness: 0.06996062	Mean Fitness: 0.05815348	Min Fitness: 0.04917236	QD Score: 5.23381289
[038000/100000]	Cells: 90  Coverage: 0.03433228%		Max Fitness: 0.06996062	Mean Fitness: 0.05815348	Min Fitness: 0.04917236	QD Score: 5.23381289
[038500/100000]	Cells: 90  Coverage: 0.03433228%		Max Fitness: 0.06996062	Mean Fitness: 0.05834179	Min Fitness: 0.04917236	QD Score: 5.25076080
[039000/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.06996062	Mean Fitness: 0.05836798	Min Fitness: 0.04917236	QD Score: 5.36985440
[039500/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.06996062	Mean Fitness: 0.05836798	Min Fitness: 0.04917236	QD Score: 5.36985440
[040000/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.06996062	Mean Fitness: 0.05836798	Min Fitness: 0.04917236	QD Score: 5.36985440
[040500/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.06996062	Mean Fitness: 0.05837076	Min Fitness: 0.04917236	QD Score: 5.42848114
[041000/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.06996062	Mean Fitness: 0.05837076	Min Fitness: 0.04917236	QD Score: 5.42848114
