[000500/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.04904342	Mean Fitness: 0.04904342	Min Fitness: 0.04904342	QD Score: 0.04904342
[001000/100000]	Cells: 5  Coverage: 0.00190735%		Max Fitness: 0.05910336	Mean Fitness: 0.05229820	Min Fitness: 0.04942301	QD Score: 0.26149098
[001500/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.05941141	Mean Fitness: 0.05206965	Min Fitness: 0.04962843	QD Score: 0.31241792
[002000/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.05972228	Mean Fitness: 0.05153956	Min Fitness: 0.04962167	QD Score: 0.46385608
[002500/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.05972228	Mean Fitness: 0.05161004	Min Fitness: 0.04962167	QD Score: 0.46449038
[003000/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.05972228	Mean Fitness: 0.05219564	Min Fitness: 0.04962167	QD Score: 0.46976077
[003500/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.05972228	Mean Fitness: 0.05253810	Min Fitness: 0.04962167	QD Score: 0.57791911
[004000/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.05972228	Mean Fitness: 0.05253089	Min Fitness: 0.04826679	QD Score: 0.63037070
[004500/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.06068827	Mean Fitness: 0.05381103	Min Fitness: 0.04826679	QD Score: 0.80716541
[005000/100000]	Cells: 15  Coverage: 0.00572205%		Max Fitness: 0.06143328	Mean Fitness: 0.05392509	Min Fitness: 0.04826679	QD Score: 0.80887642
[005500/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.06143328	Mean Fitness: 0.05364806	Min Fitness: 0.04826679	QD Score: 0.96566515
[006000/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.06186925	Mean Fitness: 0.05360337	Min Fitness: 0.04826679	QD Score: 1.01846409
[006500/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.06186925	Mean Fitness: 0.05341123	Min Fitness: 0.04826679	QD Score: 1.17504716
[007000/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.06186925	Mean Fitness: 0.05331213	Min Fitness: 0.04826679	QD Score: 1.33280319
[007500/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.06566744	Mean Fitness: 0.05366953	Min Fitness: 0.04826679	QD Score: 1.39540787
[008000/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.06566744	Mean Fitness: 0.05366953	Min Fitness: 0.04826679	QD Score: 1.39540787
[008500/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.06566744	Mean Fitness: 0.05406959	Min Fitness: 0.04826679	QD Score: 1.40580936
[009000/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.06566744	Mean Fitness: 0.05413979	Min Fitness: 0.04826679	QD Score: 1.40763451
[009500/100000]	Cells: 28  Coverage: 0.01068115%		Max Fitness: 0.06566744	Mean Fitness: 0.05417754	Min Fitness: 0.04826679	QD Score: 1.51697118
[010000/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.06566744	Mean Fitness: 0.05408476	Min Fitness: 0.04826679	QD Score: 1.56845809
[010500/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.06566744	Mean Fitness: 0.05433489	Min Fitness: 0.04826679	QD Score: 1.57571181
[011000/100000]	Cells: 33  Coverage: 0.01258850%		Max Fitness: 0.06566744	Mean Fitness: 0.05392032	Min Fitness: 0.04826679	QD Score: 1.77937059
[011500/100000]	Cells: 35  Coverage: 0.01335144%		Max Fitness: 0.06566744	Mean Fitness: 0.05388907	Min Fitness: 0.04826679	QD Score: 1.88611754
[012000/100000]	Cells: 36  Coverage: 0.01373291%		Max Fitness: 0.06566744	Mean Fitness: 0.05425539	Min Fitness: 0.04826679	QD Score: 1.95319414
[012500/100000]	Cells: 36  Coverage: 0.01373291%		Max Fitness: 0.06566744	Mean Fitness: 0.05437557	Min Fitness: 0.04826679	QD Score: 1.95752063
[013000/100000]	Cells: 37  Coverage: 0.01411438%		Max Fitness: 0.06566744	Mean Fitness: 0.05475951	Min Fitness: 0.04883646	QD Score: 2.02610180
[013500/100000]	Cells: 38  Coverage: 0.01449585%		Max Fitness: 0.06566744	Mean Fitness: 0.05519847	Min Fitness: 0.04954113	QD Score: 2.09754176
[014000/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.06566744	Mean Fitness: 0.05529374	Min Fitness: 0.04954113	QD Score: 2.15645584
[014500/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.06566744	Mean Fitness: 0.05548778	Min Fitness: 0.04954113	QD Score: 2.27499883
[015000/100000]	Cells: 42  Coverage: 0.01602173%		Max Fitness: 0.06566744	Mean Fitness: 0.05541591	Min Fitness: 0.04965951	QD Score: 2.32746811
[015500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.06566744	Mean Fitness: 0.05544295	Min Fitness: 0.04965951	QD Score: 2.38404671
[016000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06566744	Mean Fitness: 0.05538719	Min Fitness: 0.04965951	QD Score: 2.43703652
[016500/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06566744	Mean Fitness: 0.05540343	Min Fitness: 0.04965951	QD Score: 2.43775073
[017000/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.06566744	Mean Fitness: 0.05540343	Min Fitness: 0.04965951	QD Score: 2.43775073
[017500/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.06566744	Mean Fitness: 0.05530806	Min Fitness: 0.04965951	QD Score: 2.54417089
[018000/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.06566744	Mean Fitness: 0.05544997	Min Fitness: 0.04965951	QD Score: 2.55069868
[018500/100000]	Cells: 46  Coverage: 0.01754761%		Max Fitness: 0.06566744	Mean Fitness: 0.05554382	Min Fitness: 0.04965951	QD Score: 2.55501574
[019000/100000]	Cells: 47  Coverage: 0.01792908%		Max Fitness: 0.06566744	Mean Fitness: 0.05540615	Min Fitness: 0.04907331	QD Score: 2.60408905
[019500/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.06566744	Mean Fitness: 0.05540933	Min Fitness: 0.04907331	QD Score: 2.65964779
[020000/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.06566744	Mean Fitness: 0.05541430	Min Fitness: 0.04907331	QD Score: 2.65988659
[020500/100000]	Cells: 50  Coverage: 0.01907349%		Max Fitness: 0.06566744	Mean Fitness: 0.05525685	Min Fitness: 0.04907331	QD Score: 2.76284243
[021000/100000]	Cells: 51  Coverage: 0.01945496%		Max Fitness: 0.06566744	Mean Fitness: 0.05532282	Min Fitness: 0.04907331	QD Score: 2.82146388
[021500/100000]	Cells: 52  Coverage: 0.01983643%		Max Fitness: 0.06566744	Mean Fitness: 0.05524821	Min Fitness: 0.04907331	QD Score: 2.87290693
[022000/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.06566744	Mean Fitness: 0.05520554	Min Fitness: 0.04907331	QD Score: 2.92589384
[022500/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.06566744	Mean Fitness: 0.05521347	Min Fitness: 0.04907331	QD Score: 2.92631388
[023000/100000]	Cells: 53  Coverage: 0.02021790%		Max Fitness: 0.06566744	Mean Fitness: 0.05524321	Min Fitness: 0.04907331	QD Score: 2.92789029
[023500/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.06566744	Mean Fitness: 0.05525690	Min Fitness: 0.04954883	QD Score: 2.98387274
[024000/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.06566744	Mean Fitness: 0.05535483	Min Fitness: 0.04965951	QD Score: 2.98916103
[024500/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.06566744	Mean Fitness: 0.05535483	Min Fitness: 0.04965951	QD Score: 2.98916103
[025000/100000]	Cells: 55  Coverage: 0.02098083%		Max Fitness: 0.06566744	Mean Fitness: 0.05533329	Min Fitness: 0.04987725	QD Score: 3.04333071
[025500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.06566744	Mean Fitness: 0.05543496	Min Fitness: 0.04987725	QD Score: 3.10435789
[026000/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.06566744	Mean Fitness: 0.05518747	Min Fitness: 0.04913158	QD Score: 3.25606095
[026500/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.06566744	Mean Fitness: 0.05521960	Min Fitness: 0.04913158	QD Score: 3.31317627
[027000/100000]	Cells: 61  Coverage: 0.02326965%		Max Fitness: 0.06566744	Mean Fitness: 0.05515633	Min Fitness: 0.04913158	QD Score: 3.36453583
[027500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06566744	Mean Fitness: 0.05516377	Min Fitness: 0.04913158	QD Score: 3.47531737
[028000/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.06566744	Mean Fitness: 0.05523676	Min Fitness: 0.04913158	QD Score: 3.47991575
[028500/100000]	Cells: 65  Coverage: 0.02479553%		Max Fitness: 0.06566744	Mean Fitness: 0.05521249	Min Fitness: 0.04913158	QD Score: 3.58881202
[029000/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.06566744	Mean Fitness: 0.05514740	Min Fitness: 0.04913158	QD Score: 3.69487569
[029500/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.06566744	Mean Fitness: 0.05522529	Min Fitness: 0.04913158	QD Score: 3.70009445
[030000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.06566744	Mean Fitness: 0.05524579	Min Fitness: 0.04913158	QD Score: 3.81195954
[030500/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.06566744	Mean Fitness: 0.05521504	Min Fitness: 0.04913158	QD Score: 3.86505269
[031000/100000]	Cells: 73  Coverage: 0.02784729%		Max Fitness: 0.06566744	Mean Fitness: 0.05517150	Min Fitness: 0.04913158	QD Score: 4.02751956
[031500/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.06566744	Mean Fitness: 0.05520235	Min Fitness: 0.04913158	QD Score: 4.08497410
[032000/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.06566744	Mean Fitness: 0.05515361	Min Fitness: 0.04913158	QD Score: 4.13652078
[032500/100000]	Cells: 79  Coverage: 0.03013611%		Max Fitness: 0.06566744	Mean Fitness: 0.05517160	Min Fitness: 0.04913158	QD Score: 4.35855625
[033000/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.06566744	Mean Fitness: 0.05521823	Min Fitness: 0.04913158	QD Score: 4.41745856
[033500/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.06566744	Mean Fitness: 0.05526159	Min Fitness: 0.04913158	QD Score: 4.42092681
[034000/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.06566744	Mean Fitness: 0.05518462	Min Fitness: 0.04902773	QD Score: 4.46995453
[034500/100000]	Cells: 82  Coverage: 0.03128052%		Max Fitness: 0.06566744	Mean Fitness: 0.05516406	Min Fitness: 0.04902773	QD Score: 4.52345324
[035000/100000]	Cells: 82  Coverage: 0.03128052%		Max Fitness: 0.06566744	Mean Fitness: 0.05522241	Min Fitness: 0.04902773	QD Score: 4.52823735
[035500/100000]	Cells: 82  Coverage: 0.03128052%		Max Fitness: 0.06566744	Mean Fitness: 0.05522241	Min Fitness: 0.04902773	QD Score: 4.52823735
[036000/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.06566744	Mean Fitness: 0.05549493	Min Fitness: 0.04902773	QD Score: 4.66157408
[036500/100000]	Cells: 85  Coverage: 0.03242493%		Max Fitness: 0.06566744	Mean Fitness: 0.05554595	Min Fitness: 0.04902773	QD Score: 4.72140601
[037000/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.06566744	Mean Fitness: 0.05539544	Min Fitness: 0.04902773	QD Score: 4.87479880
[037500/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.06566744	Mean Fitness: 0.05540872	Min Fitness: 0.04902773	QD Score: 4.87596705
[038000/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.06566744	Mean Fitness: 0.05540872	Min Fitness: 0.04902773	QD Score: 4.87596705
[038500/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.06732861	Mean Fitness: 0.05545194	Min Fitness: 0.04902773	QD Score: 4.93522271
[039000/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.06732861	Mean Fitness: 0.05540497	Min Fitness: 0.04902773	QD Score: 5.15266200
[039500/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.06732861	Mean Fitness: 0.05540497	Min Fitness: 0.04902773	QD Score: 5.15266200
[040000/100000]	Cells: 94  Coverage: 0.03585815%		Max Fitness: 0.06732861	Mean Fitness: 0.05543601	Min Fitness: 0.04902773	QD Score: 5.21098516
[040500/100000]	Cells: 94  Coverage: 0.03585815%		Max Fitness: 0.06732861	Mean Fitness: 0.05543601	Min Fitness: 0.04902773	QD Score: 5.21098516
[041000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.06732861	Mean Fitness: 0.05547483	Min Fitness: 0.04902773	QD Score: 5.27010903
[041500/100000]	Cells: 98  Coverage: 0.03738403%		Max Fitness: 0.06732861	Mean Fitness: 0.05538575	Min Fitness: 0.04902773	QD Score: 5.42780379
[042000/100000]	Cells: 100  Coverage: 0.03814697%		Max Fitness: 0.06732861	Mean Fitness: 0.05536395	Min Fitness: 0.04902773	QD Score: 5.53639481
[042500/100000]	Cells: 101  Coverage: 0.03852844%		Max Fitness: 0.06732861	Mean Fitness: 0.05532582	Min Fitness: 0.04902773	QD Score: 5.58790763
[043000/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.06732861	Mean Fitness: 0.05532486	Min Fitness: 0.04902773	QD Score: 5.64313603
[043500/100000]	Cells: 102  Coverage: 0.03890991%		Max Fitness: 0.06732861	Mean Fitness: 0.05532486	Min Fitness: 0.04902773	QD Score: 5.64313603
[044000/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.06732861	Mean Fitness: 0.05529637	Min Fitness: 0.04902773	QD Score: 5.69552569
[044500/100000]	Cells: 104  Coverage: 0.03967285%		Max Fitness: 0.06732861	Mean Fitness: 0.05526175	Min Fitness: 0.04902773	QD Score: 5.74722158
[045000/100000]	Cells: 105  Coverage: 0.04005432%		Max Fitness: 0.06732861	Mean Fitness: 0.05523919	Min Fitness: 0.04902773	QD Score: 5.80011464
[045500/100000]	Cells: 105  Coverage: 0.04005432%		Max Fitness: 0.06732861	Mean Fitness: 0.05524863	Min Fitness: 0.04902773	QD Score: 5.80110614
[046000/100000]	Cells: 105  Coverage: 0.04005432%		Max Fitness: 0.06732861	Mean Fitness: 0.05529453	Min Fitness: 0.04902773	QD Score: 5.80592590
[046500/100000]	Cells: 106  Coverage: 0.04043579%		Max Fitness: 0.06732861	Mean Fitness: 0.05535586	Min Fitness: 0.04902773	QD Score: 5.86772112
[047000/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.06732861	Mean Fitness: 0.05531211	Min Fitness: 0.04902773	QD Score: 5.91839603
[047500/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.06732861	Mean Fitness: 0.05528673	Min Fitness: 0.04902773	QD Score: 6.02625355
[048000/100000]	Cells: 109  Coverage: 0.04158020%		Max Fitness: 0.06732861	Mean Fitness: 0.05529054	Min Fitness: 0.04902773	QD Score: 6.02666844
[048500/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.06732861	Mean Fitness: 0.05530654	Min Fitness: 0.04902773	QD Score: 6.08371932
[049000/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.06732861	Mean Fitness: 0.05530654	Min Fitness: 0.04902773	QD Score: 6.08371932
[049500/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.06732861	Mean Fitness: 0.05531504	Min Fitness: 0.04902773	QD Score: 6.08465453
[050000/100000]	Cells: 110  Coverage: 0.04196167%		Max Fitness: 0.06732861	Mean Fitness: 0.05538501	Min Fitness: 0.04902773	QD Score: 6.09235090
[050500/100000]	Cells: 111  Coverage: 0.04234314%		Max Fitness: 0.06732861	Mean Fitness: 0.05537201	Min Fitness: 0.04902773	QD Score: 6.14629276
[051000/100000]	Cells: 111  Coverage: 0.04234314%		Max Fitness: 0.06732861	Mean Fitness: 0.05537201	Min Fitness: 0.04902773	QD Score: 6.14629276
[051500/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.06732861	Mean Fitness: 0.05543137	Min Fitness: 0.04902773	QD Score: 6.20831388
[052000/100000]	Cells: 113  Coverage: 0.04310608%		Max Fitness: 0.06732861	Mean Fitness: 0.05545255	Min Fitness: 0.04902773	QD Score: 6.26613822
[052500/100000]	Cells: 115  Coverage: 0.04386902%		Max Fitness: 0.06732861	Mean Fitness: 0.05546920	Min Fitness: 0.04902773	QD Score: 6.37895838
[053000/100000]	Cells: 117  Coverage: 0.04463196%		Max Fitness: 0.06732861	Mean Fitness: 0.05546842	Min Fitness: 0.04902773	QD Score: 6.48980477
[053500/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.06732861	Mean Fitness: 0.05540780	Min Fitness: 0.04831544	QD Score: 6.53812021
[054000/100000]	Cells: 120  Coverage: 0.04577637%		Max Fitness: 0.06732861	Mean Fitness: 0.05534916	Min Fitness: 0.04831544	QD Score: 6.64189933
[054500/100000]	Cells: 122  Coverage: 0.04653931%		Max Fitness: 0.06732861	Mean Fitness: 0.05530826	Min Fitness: 0.04831544	QD Score: 6.74760813
[055000/100000]	Cells: 123  Coverage: 0.04692078%		Max Fitness: 0.06732861	Mean Fitness: 0.05528216	Min Fitness: 0.04831544	QD Score: 6.79970574
