[000500/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.06704450	Mean Fitness: 0.06580270	Min Fitness: 0.06440669	QD Score: 0.59222433
[001000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07499184	Mean Fitness: 0.06617874	Min Fitness: 0.06070186	QD Score: 1.05885981
[001500/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.07499184	Mean Fitness: 0.06582944	Min Fitness: 0.05814622	QD Score: 2.04071250
[002000/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.07499184	Mean Fitness: 0.06626321	Min Fitness: 0.05814622	QD Score: 2.58426517
[002500/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.07499184	Mean Fitness: 0.06600506	Min Fitness: 0.05814622	QD Score: 2.90422252
[003000/100000]	Cells: 58  Coverage: 0.02212524%		Max Fitness: 0.07499184	Mean Fitness: 0.06606061	Min Fitness: 0.05814622	QD Score: 3.83151515
[003500/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.07499184	Mean Fitness: 0.06595034	Min Fitness: 0.05814622	QD Score: 4.41867249
[004000/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.07505299	Mean Fitness: 0.06593079	Min Fitness: 0.05724441	QD Score: 4.94480934
[004500/100000]	Cells: 85  Coverage: 0.03242493%		Max Fitness: 0.07505299	Mean Fitness: 0.06575107	Min Fitness: 0.05724441	QD Score: 5.58884107
[005000/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.07505299	Mean Fitness: 0.06569624	Min Fitness: 0.05684837	QD Score: 5.71557331
[005500/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.07505299	Mean Fitness: 0.06575792	Min Fitness: 0.05684837	QD Score: 6.31276019
[006000/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07505299	Mean Fitness: 0.06585830	Min Fitness: 0.05684837	QD Score: 6.78340540
