[000500/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.07302149	Mean Fitness: 0.07245706	Min Fitness: 0.07102670	QD Score: 0.43474237
[001000/100000]	Cells: 14  Coverage: 0.00534058%		Max Fitness: 0.08595011	Mean Fitness: 0.07388110	Min Fitness: 0.06817148	QD Score: 1.03433538
[001500/100000]	Cells: 20  Coverage: 0.00762939%		Max Fitness: 0.08823442	Mean Fitness: 0.07392799	Min Fitness: 0.06817148	QD Score: 1.47855982
[002000/100000]	Cells: 24  Coverage: 0.00915527%		Max Fitness: 0.08823442	Mean Fitness: 0.07333377	Min Fitness: 0.06817148	QD Score: 1.76001052
[002500/100000]	Cells: 34  Coverage: 0.01296997%		Max Fitness: 0.08823442	Mean Fitness: 0.07283690	Min Fitness: 0.06636999	QD Score: 2.47645474
[003000/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.08823442	Mean Fitness: 0.07231555	Min Fitness: 0.06359843	QD Score: 2.89262213
[003500/100000]	Cells: 45  Coverage: 0.01716614%		Max Fitness: 0.08823442	Mean Fitness: 0.07297829	Min Fitness: 0.06359843	QD Score: 3.28402293
[004000/100000]	Cells: 49  Coverage: 0.01869202%		Max Fitness: 0.08823442	Mean Fitness: 0.07253818	Min Fitness: 0.06359843	QD Score: 3.55437082
[004500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.08823442	Mean Fitness: 0.07263505	Min Fitness: 0.06171648	QD Score: 4.06756256
[005000/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.09239104	Mean Fitness: 0.07319543	Min Fitness: 0.06171648	QD Score: 4.31853039
[005500/100000]	Cells: 64  Coverage: 0.02441406%		Max Fitness: 0.09239104	Mean Fitness: 0.07275792	Min Fitness: 0.06171648	QD Score: 4.65650693
[006000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.09239104	Mean Fitness: 0.07301235	Min Fitness: 0.06308893	QD Score: 5.03785196
[006500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.09239104	Mean Fitness: 0.07259886	Min Fitness: 0.06308893	QD Score: 5.51751364
[007000/100000]	Cells: 84  Coverage: 0.03204346%		Max Fitness: 0.09239104	Mean Fitness: 0.07263270	Min Fitness: 0.06308893	QD Score: 6.10114690
[007500/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.09239104	Mean Fitness: 0.07266931	Min Fitness: 0.06308893	QD Score: 6.24956098
[008000/100000]	Cells: 92  Coverage: 0.03509521%		Max Fitness: 0.09239104	Mean Fitness: 0.07318322	Min Fitness: 0.06308893	QD Score: 6.73285604
[008500/100000]	Cells: 96  Coverage: 0.03662109%		Max Fitness: 0.09239104	Mean Fitness: 0.07313832	Min Fitness: 0.06308893	QD Score: 7.02127841
[009000/100000]	Cells: 101  Coverage: 0.03852844%		Max Fitness: 0.09239104	Mean Fitness: 0.07324532	Min Fitness: 0.06308893	QD Score: 7.39777712
[009500/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.09239104	Mean Fitness: 0.07312779	Min Fitness: 0.06308893	QD Score: 7.82467376
[010000/100000]	Cells: 112  Coverage: 0.04272461%		Max Fitness: 0.09239104	Mean Fitness: 0.07321507	Min Fitness: 0.06308893	QD Score: 8.20008749
[010500/100000]	Cells: 117  Coverage: 0.04463196%		Max Fitness: 0.09239104	Mean Fitness: 0.07314002	Min Fitness: 0.06308893	QD Score: 8.55738217
