[000500/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.05360413	Mean Fitness: 0.05360413	Min Fitness: 0.05360413	QD Score: 0.05360413
[001000/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.05889812	Mean Fitness: 0.05504777	Min Fitness: 0.05102813	QD Score: 0.44038212
[001500/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.06007228	Mean Fitness: 0.05583157	Min Fitness: 0.05102813	QD Score: 0.61414732
[002000/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.06007228	Mean Fitness: 0.05575197	Min Fitness: 0.05212330	QD Score: 0.66902362
[002500/100000]	Cells: 14  Coverage: 0.00534058%		Max Fitness: 0.06007228	Mean Fitness: 0.05572744	Min Fitness: 0.05212330	QD Score: 0.78018416
[003000/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.06039690	Mean Fitness: 0.05592959	Min Fitness: 0.05212330	QD Score: 1.00673258
[003500/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.06039690	Mean Fitness: 0.05623196	Min Fitness: 0.05212330	QD Score: 1.01217521
[004000/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.06039690	Mean Fitness: 0.05625820	Min Fitness: 0.05212330	QD Score: 1.06890577
[004500/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.06039690	Mean Fitness: 0.05624867	Min Fitness: 0.05212330	QD Score: 1.18122209
[005000/100000]	Cells: 24  Coverage: 0.00915527%		Max Fitness: 0.06039690	Mean Fitness: 0.05643264	Min Fitness: 0.05335521	QD Score: 1.35438341
[005500/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.06039690	Mean Fitness: 0.05625004	Min Fitness: 0.05281081	QD Score: 1.51875115
[006000/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.06039690	Mean Fitness: 0.05627321	Min Fitness: 0.05281081	QD Score: 1.63192316
[006500/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.06184322	Mean Fitness: 0.05632476	Min Fitness: 0.05281081	QD Score: 1.63341815
[007000/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.06184322	Mean Fitness: 0.05630807	Min Fitness: 0.05281081	QD Score: 1.74555013
[007500/100000]	Cells: 33  Coverage: 0.01258850%		Max Fitness: 0.06184322	Mean Fitness: 0.05617799	Min Fitness: 0.05200535	QD Score: 1.85387367
