[000500/100000]	Cells: 0  Coverage: 0.00000000%		Max Fitness: -Infinity	Mean Fitness: NaN	Min Fitness: Infinity	QD Score: 0.00000000
[001000/100000]	Cells: 3  Coverage: 0.00114441%		Max Fitness: 0.05903349	Mean Fitness: 0.05440104	Min Fitness: 0.05097132	QD Score: 0.16320312
[001500/100000]	Cells: 4  Coverage: 0.00152588%		Max Fitness: 0.06070835	Mean Fitness: 0.05390752	Min Fitness: 0.05075211	QD Score: 0.21563010
[002000/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.06504921	Mean Fitness: 0.05510859	Min Fitness: 0.05075211	QD Score: 0.38576014
[002500/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.06559748	Mean Fitness: 0.05538577	Min Fitness: 0.05075211	QD Score: 0.38770037
[003000/100000]	Cells: 10  Coverage: 0.00381470%		Max Fitness: 0.07026917	Mean Fitness: 0.05704725	Min Fitness: 0.05075211	QD Score: 0.57047254
[003500/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.07026917	Mean Fitness: 0.05708994	Min Fitness: 0.05035273	QD Score: 0.68507925
[004000/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.07026917	Mean Fitness: 0.05716506	Min Fitness: 0.05035273	QD Score: 0.68598070
[004500/100000]	Cells: 14  Coverage: 0.00534058%		Max Fitness: 0.07026917	Mean Fitness: 0.05689980	Min Fitness: 0.05035273	QD Score: 0.79659727
[005000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07026917	Mean Fitness: 0.05622094	Min Fitness: 0.05035273	QD Score: 0.89953499
[005500/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07026917	Mean Fitness: 0.05685130	Min Fitness: 0.05035273	QD Score: 0.90962076
[006000/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.07026917	Mean Fitness: 0.05835837	Min Fitness: 0.05081555	QD Score: 0.93373386
[006500/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.07026917	Mean Fitness: 0.05956205	Min Fitness: 0.05081555	QD Score: 1.01255479
[007000/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.07026917	Mean Fitness: 0.06010173	Min Fitness: 0.05081555	QD Score: 1.08183112
[007500/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.07026917	Mean Fitness: 0.05977326	Min Fitness: 0.05081555	QD Score: 1.13569185
[008000/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.07026917	Mean Fitness: 0.05957453	Min Fitness: 0.05059167	QD Score: 1.25106504
[008500/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.07026917	Mean Fitness: 0.05970989	Min Fitness: 0.05059167	QD Score: 1.31361764
[009000/100000]	Cells: 22  Coverage: 0.00839233%		Max Fitness: 0.07026917	Mean Fitness: 0.06007574	Min Fitness: 0.05059167	QD Score: 1.32166623
[009500/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.07026917	Mean Fitness: 0.06050963	Min Fitness: 0.05059167	QD Score: 1.39172151
[010000/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.07026917	Mean Fitness: 0.05996691	Min Fitness: 0.05081555	QD Score: 1.49917263
[010500/100000]	Cells: 27  Coverage: 0.01029968%		Max Fitness: 0.07026917	Mean Fitness: 0.05952157	Min Fitness: 0.05005958	QD Score: 1.60708245
[011000/100000]	Cells: 28  Coverage: 0.01068115%		Max Fitness: 0.07026917	Mean Fitness: 0.05955288	Min Fitness: 0.05005958	QD Score: 1.66748059
[011500/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.07026917	Mean Fitness: 0.05939160	Min Fitness: 0.05005958	QD Score: 1.72235630
[012000/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.07026917	Mean Fitness: 0.05950541	Min Fitness: 0.05005958	QD Score: 1.78516219
[012500/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.07026917	Mean Fitness: 0.05950541	Min Fitness: 0.05005958	QD Score: 1.78516219
[013000/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.07026917	Mean Fitness: 0.05950541	Min Fitness: 0.05005958	QD Score: 1.78516219
[013500/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.07026917	Mean Fitness: 0.05923403	Min Fitness: 0.05005958	QD Score: 1.83625492
[014000/100000]	Cells: 33  Coverage: 0.01258850%		Max Fitness: 0.07026917	Mean Fitness: 0.05922109	Min Fitness: 0.05005958	QD Score: 1.95429582
[014500/100000]	Cells: 35  Coverage: 0.01335144%		Max Fitness: 0.07026917	Mean Fitness: 0.05888503	Min Fitness: 0.05005958	QD Score: 2.06097616
[015000/100000]	Cells: 36  Coverage: 0.01373291%		Max Fitness: 0.07026917	Mean Fitness: 0.05871236	Min Fitness: 0.05005958	QD Score: 2.11364479
[015500/100000]	Cells: 36  Coverage: 0.01373291%		Max Fitness: 0.07026917	Mean Fitness: 0.05871236	Min Fitness: 0.05005958	QD Score: 2.11364479
[016000/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.07026917	Mean Fitness: 0.05816878	Min Fitness: 0.05005958	QD Score: 2.26858226
[016500/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.07026917	Mean Fitness: 0.05824452	Min Fitness: 0.05005958	QD Score: 2.32978060
[017000/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.07026917	Mean Fitness: 0.05840473	Min Fitness: 0.05005958	QD Score: 2.33618935
[017500/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.07026917	Mean Fitness: 0.05840473	Min Fitness: 0.05005958	QD Score: 2.33618935
[018000/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.07026917	Mean Fitness: 0.05841289	Min Fitness: 0.05005958	QD Score: 2.33651553
[018500/100000]	Cells: 40  Coverage: 0.01525879%		Max Fitness: 0.07026917	Mean Fitness: 0.05866962	Min Fitness: 0.05005958	QD Score: 2.34678484
[019000/100000]	Cells: 41  Coverage: 0.01564026%		Max Fitness: 0.07026917	Mean Fitness: 0.05855067	Min Fitness: 0.05005958	QD Score: 2.40057745
[019500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.07026917	Mean Fitness: 0.05871137	Min Fitness: 0.05005958	QD Score: 2.52458909
[020000/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.07028261	Mean Fitness: 0.05924099	Min Fitness: 0.05005958	QD Score: 2.54736263
[020500/100000]	Cells: 44  Coverage: 0.01678467%		Max Fitness: 0.07028261	Mean Fitness: 0.05929300	Min Fitness: 0.05005958	QD Score: 2.60889220
[021000/100000]	Cells: 45  Coverage: 0.01716614%		Max Fitness: 0.07028261	Mean Fitness: 0.05911582	Min Fitness: 0.05005958	QD Score: 2.66021173
[021500/100000]	Cells: 50  Coverage: 0.01907349%		Max Fitness: 0.07028261	Mean Fitness: 0.05894524	Min Fitness: 0.05005958	QD Score: 2.94726198
[022000/100000]	Cells: 50  Coverage: 0.01907349%		Max Fitness: 0.07028261	Mean Fitness: 0.05895851	Min Fitness: 0.05005958	QD Score: 2.94792527
[022500/100000]	Cells: 51  Coverage: 0.01945496%		Max Fitness: 0.07028261	Mean Fitness: 0.05888184	Min Fitness: 0.05005958	QD Score: 3.00297400
[023000/100000]	Cells: 52  Coverage: 0.01983643%		Max Fitness: 0.07028261	Mean Fitness: 0.05942457	Min Fitness: 0.05005958	QD Score: 3.09007757
[023500/100000]	Cells: 52  Coverage: 0.01983643%		Max Fitness: 0.07028261	Mean Fitness: 0.05942457	Min Fitness: 0.05005958	QD Score: 3.09007757
[024000/100000]	Cells: 54  Coverage: 0.02059937%		Max Fitness: 0.07028261	Mean Fitness: 0.05913726	Min Fitness: 0.04848249	QD Score: 3.19341179
[024500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.07028261	Mean Fitness: 0.05902100	Min Fitness: 0.04848249	QD Score: 3.30517605
[025000/100000]	Cells: 57  Coverage: 0.02174377%		Max Fitness: 0.07028261	Mean Fitness: 0.05901188	Min Fitness: 0.04848249	QD Score: 3.36367744
[025500/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.07028261	Mean Fitness: 0.05878512	Min Fitness: 0.04848249	QD Score: 3.46832214
[026000/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.07028261	Mean Fitness: 0.05892201	Min Fitness: 0.04848249	QD Score: 3.47639834
[026500/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.07028261	Mean Fitness: 0.05892201	Min Fitness: 0.04848249	QD Score: 3.47639834
[027000/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.07028261	Mean Fitness: 0.05911243	Min Fitness: 0.04848249	QD Score: 3.48763336
[027500/100000]	Cells: 59  Coverage: 0.02250671%		Max Fitness: 0.07028261	Mean Fitness: 0.05919936	Min Fitness: 0.04848249	QD Score: 3.49276195
[028000/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.07028261	Mean Fitness: 0.05905951	Min Fitness: 0.04848249	QD Score: 3.54357038
[028500/100000]	Cells: 60  Coverage: 0.02288818%		Max Fitness: 0.07028261	Mean Fitness: 0.05905951	Min Fitness: 0.04848249	QD Score: 3.54357038
[029000/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.07028261	Mean Fitness: 0.05903481	Min Fitness: 0.04848249	QD Score: 3.66015836
[029500/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.07028261	Mean Fitness: 0.05893983	Min Fitness: 0.04848249	QD Score: 3.71320918
[030000/100000]	Cells: 63  Coverage: 0.02403259%		Max Fitness: 0.07028261	Mean Fitness: 0.05913885	Min Fitness: 0.04848249	QD Score: 3.72574758
[030500/100000]	Cells: 64  Coverage: 0.02441406%		Max Fitness: 0.07028261	Mean Fitness: 0.05908346	Min Fitness: 0.04848249	QD Score: 3.78134135
[031000/100000]	Cells: 66  Coverage: 0.02517700%		Max Fitness: 0.07028261	Mean Fitness: 0.05907093	Min Fitness: 0.04848249	QD Score: 3.89868169
[031500/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.07028261	Mean Fitness: 0.05896331	Min Fitness: 0.04848249	QD Score: 3.95054193
[032000/100000]	Cells: 69  Coverage: 0.02632141%		Max Fitness: 0.07028261	Mean Fitness: 0.05890768	Min Fitness: 0.04848249	QD Score: 4.06463019
[032500/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07028261	Mean Fitness: 0.05885802	Min Fitness: 0.04848249	QD Score: 4.12006165
[033000/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07028261	Mean Fitness: 0.05894602	Min Fitness: 0.04848249	QD Score: 4.12622170
[033500/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07028261	Mean Fitness: 0.05894602	Min Fitness: 0.04848249	QD Score: 4.12622170
[034000/100000]	Cells: 72  Coverage: 0.02746582%		Max Fitness: 0.07028261	Mean Fitness: 0.05876573	Min Fitness: 0.04848249	QD Score: 4.23113255
[034500/100000]	Cells: 72  Coverage: 0.02746582%		Max Fitness: 0.07028261	Mean Fitness: 0.05878429	Min Fitness: 0.04848249	QD Score: 4.23246904
[035000/100000]	Cells: 73  Coverage: 0.02784729%		Max Fitness: 0.07028261	Mean Fitness: 0.05869540	Min Fitness: 0.04848249	QD Score: 4.28476387
[035500/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.07028261	Mean Fitness: 0.05864796	Min Fitness: 0.04848249	QD Score: 4.33994872
[036000/100000]	Cells: 74  Coverage: 0.02822876%		Max Fitness: 0.07028261	Mean Fitness: 0.05864796	Min Fitness: 0.04848249	QD Score: 4.33994872
[036500/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.07028261	Mean Fitness: 0.05861131	Min Fitness: 0.04848249	QD Score: 4.39584810
[037000/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.07028261	Mean Fitness: 0.05861131	Min Fitness: 0.04848249	QD Score: 4.39584810
[037500/100000]	Cells: 75  Coverage: 0.02861023%		Max Fitness: 0.07028261	Mean Fitness: 0.05861131	Min Fitness: 0.04848249	QD Score: 4.39584810
[038000/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.07028261	Mean Fitness: 0.05851351	Min Fitness: 0.04848249	QD Score: 4.44702689
[038500/100000]	Cells: 79  Coverage: 0.03013611%		Max Fitness: 0.07028261	Mean Fitness: 0.05858307	Min Fitness: 0.04848249	QD Score: 4.62806269
[039000/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.07028261	Mean Fitness: 0.05849849	Min Fitness: 0.04848249	QD Score: 4.67987901
[039500/100000]	Cells: 80  Coverage: 0.03051758%		Max Fitness: 0.07028261	Mean Fitness: 0.05852844	Min Fitness: 0.04848249	QD Score: 4.68227536
[040000/100000]	Cells: 81  Coverage: 0.03089905%		Max Fitness: 0.07028261	Mean Fitness: 0.05856349	Min Fitness: 0.04848249	QD Score: 4.74364302
[040500/100000]	Cells: 82  Coverage: 0.03128052%		Max Fitness: 0.07028261	Mean Fitness: 0.05858765	Min Fitness: 0.04848249	QD Score: 4.80418764
[041000/100000]	Cells: 83  Coverage: 0.03166199%		Max Fitness: 0.07028261	Mean Fitness: 0.05852418	Min Fitness: 0.04848249	QD Score: 4.85750663
[041500/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.07028261	Mean Fitness: 0.05848083	Min Fitness: 0.04848249	QD Score: 5.02935106
[042000/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.07028261	Mean Fitness: 0.05864559	Min Fitness: 0.04848249	QD Score: 5.04352102
[042500/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.07028261	Mean Fitness: 0.05864559	Min Fitness: 0.04848249	QD Score: 5.04352102
[043000/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.07028261	Mean Fitness: 0.05857502	Min Fitness: 0.04848249	QD Score: 5.15460215
[043500/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.07028261	Mean Fitness: 0.05851527	Min Fitness: 0.04848249	QD Score: 5.20785937
[044000/100000]	Cells: 89  Coverage: 0.03395081%		Max Fitness: 0.07028261	Mean Fitness: 0.05854478	Min Fitness: 0.04957281	QD Score: 5.21048568
[044500/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05852863	Min Fitness: 0.04957281	QD Score: 5.32610529
[045000/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05853561	Min Fitness: 0.04957281	QD Score: 5.32674025
[045500/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05853710	Min Fitness: 0.04957281	QD Score: 5.32687590
[046000/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05853710	Min Fitness: 0.04957281	QD Score: 5.32687590
[046500/100000]	Cells: 91  Coverage: 0.03471375%		Max Fitness: 0.07028261	Mean Fitness: 0.05854074	Min Fitness: 0.04957281	QD Score: 5.32720762
[047000/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.07028261	Mean Fitness: 0.05839170	Min Fitness: 0.04957281	QD Score: 5.43042781
[047500/100000]	Cells: 94  Coverage: 0.03585815%		Max Fitness: 0.07028261	Mean Fitness: 0.05844820	Min Fitness: 0.04957281	QD Score: 5.49413056
[048000/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05838254	Min Fitness: 0.04957281	QD Score: 5.54634109
[048500/100000]	Cells: 95  Coverage: 0.03623962%		Max Fitness: 0.07028261	Mean Fitness: 0.05838254	Min Fitness: 0.04957281	QD Score: 5.54634109
