[000500/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.04999550	Mean Fitness: 0.04999550	Min Fitness: 0.04999550	QD Score: 0.04999550
[001000/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.05259994	Mean Fitness: 0.05259994	Min Fitness: 0.05259994	QD Score: 0.05259994
[001500/100000]	Cells: 3  Coverage: 0.00114441%		Max Fitness: 0.05562467	Mean Fitness: 0.05342990	Min Fitness: 0.05198824	QD Score: 0.16028970
[002000/100000]	Cells: 5  Coverage: 0.00190735%		Max Fitness: 0.05731168	Mean Fitness: 0.05221739	Min Fitness: 0.04944692	QD Score: 0.26108695
[002500/100000]	Cells: 5  Coverage: 0.00190735%		Max Fitness: 0.05764000	Mean Fitness: 0.05240769	Min Fitness: 0.04944692	QD Score: 0.26203845
[003000/100000]	Cells: 7  Coverage: 0.00267029%		Max Fitness: 0.05765482	Mean Fitness: 0.05313627	Min Fitness: 0.04944692	QD Score: 0.37195391
[003500/100000]	Cells: 9  Coverage: 0.00343323%		Max Fitness: 0.05793984	Mean Fitness: 0.05248065	Min Fitness: 0.04824783	QD Score: 0.47232585
[004000/100000]	Cells: 10  Coverage: 0.00381470%		Max Fitness: 0.06058115	Mean Fitness: 0.05500701	Min Fitness: 0.04824783	QD Score: 0.55007005
[004500/100000]	Cells: 13  Coverage: 0.00495911%		Max Fitness: 0.06111316	Mean Fitness: 0.05432215	Min Fitness: 0.04824783	QD Score: 0.70618790
[005000/100000]	Cells: 14  Coverage: 0.00534058%		Max Fitness: 0.06111316	Mean Fitness: 0.05469035	Min Fitness: 0.04824783	QD Score: 0.76566494
[005500/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.06111316	Mean Fitness: 0.05473034	Min Fitness: 0.04824783	QD Score: 0.87568545
[006000/100000]	Cells: 18  Coverage: 0.00686646%		Max Fitness: 0.06111316	Mean Fitness: 0.05475305	Min Fitness: 0.04824783	QD Score: 0.98555497
[006500/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.06137828	Mean Fitness: 0.05513632	Min Fitness: 0.04824783	QD Score: 1.04759011
[007000/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.06137828	Mean Fitness: 0.05515319	Min Fitness: 0.04824783	QD Score: 1.04791057
