[000500/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.06704450	Mean Fitness: 0.06636375	Min Fitness: 0.06516431	QD Score: 0.53091000
[001000/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.07359583	Mean Fitness: 0.06691227	Min Fitness: 0.06204029	QD Score: 0.80294722
[001500/100000]	Cells: 19  Coverage: 0.00724792%		Max Fitness: 0.07593074	Mean Fitness: 0.06689790	Min Fitness: 0.06204029	QD Score: 1.27106005
[002000/100000]	Cells: 31  Coverage: 0.01182556%		Max Fitness: 0.07593074	Mean Fitness: 0.06712264	Min Fitness: 0.06097127	QD Score: 2.08080197
[002500/100000]	Cells: 39  Coverage: 0.01487732%		Max Fitness: 0.07593074	Mean Fitness: 0.06672498	Min Fitness: 0.06097127	QD Score: 2.60227431
[003000/100000]	Cells: 42  Coverage: 0.01602173%		Max Fitness: 0.07593074	Mean Fitness: 0.06646304	Min Fitness: 0.06097127	QD Score: 2.79144781
[003500/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.07593074	Mean Fitness: 0.06657311	Min Fitness: 0.06097127	QD Score: 3.19550916
[004000/100000]	Cells: 57  Coverage: 0.02174377%		Max Fitness: 0.07593074	Mean Fitness: 0.06673685	Min Fitness: 0.06097127	QD Score: 3.80400067
[004500/100000]	Cells: 62  Coverage: 0.02365112%		Max Fitness: 0.07593074	Mean Fitness: 0.06677210	Min Fitness: 0.06050743	QD Score: 4.13987044
[005000/100000]	Cells: 70  Coverage: 0.02670288%		Max Fitness: 0.07593074	Mean Fitness: 0.06668662	Min Fitness: 0.05996310	QD Score: 4.66806333
[005500/100000]	Cells: 76  Coverage: 0.02899170%		Max Fitness: 0.07593074	Mean Fitness: 0.06660529	Min Fitness: 0.05996310	QD Score: 5.06200225
[006000/100000]	Cells: 86  Coverage: 0.03280640%		Max Fitness: 0.07593074	Mean Fitness: 0.06681689	Min Fitness: 0.05996310	QD Score: 5.74625256
[006500/100000]	Cells: 88  Coverage: 0.03356934%		Max Fitness: 0.07593074	Mean Fitness: 0.06690121	Min Fitness: 0.05996310	QD Score: 5.88730665
[007000/100000]	Cells: 98  Coverage: 0.03738403%		Max Fitness: 0.07593074	Mean Fitness: 0.06680211	Min Fitness: 0.05996310	QD Score: 6.54660648
[007500/100000]	Cells: 103  Coverage: 0.03929138%		Max Fitness: 0.07593074	Mean Fitness: 0.06672812	Min Fitness: 0.05990838	QD Score: 6.87299613
[008000/100000]	Cells: 107  Coverage: 0.04081726%		Max Fitness: 0.07593074	Mean Fitness: 0.06681759	Min Fitness: 0.05884691	QD Score: 7.14948173
[008500/100000]	Cells: 108  Coverage: 0.04119873%		Max Fitness: 0.07593074	Mean Fitness: 0.06700459	Min Fitness: 0.05884691	QD Score: 7.23649566
[009000/100000]	Cells: 111  Coverage: 0.04234314%		Max Fitness: 0.07593074	Mean Fitness: 0.06702449	Min Fitness: 0.05884691	QD Score: 7.43971833
[009500/100000]	Cells: 118  Coverage: 0.04501343%		Max Fitness: 0.07622585	Mean Fitness: 0.06705753	Min Fitness: 0.05884691	QD Score: 7.91278825
[010000/100000]	Cells: 126  Coverage: 0.04806519%		Max Fitness: 0.07622585	Mean Fitness: 0.06689413	Min Fitness: 0.05884691	QD Score: 8.42866012
[010500/100000]	Cells: 129  Coverage: 0.04920959%		Max Fitness: 0.07622585	Mean Fitness: 0.06677610	Min Fitness: 0.05835924	QD Score: 8.61411684
