[000500/100000]	Cells: 11  Coverage: 0.00419617%		Max Fitness: 0.07337181	Mean Fitness: 0.07263774	Min Fitness: 0.07165492	QD Score: 0.79901515
[001000/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.08589474	Mean Fitness: 0.07327947	Min Fitness: 0.06837975	QD Score: 1.53886882
[001500/100000]	Cells: 30  Coverage: 0.01144409%		Max Fitness: 0.08589474	Mean Fitness: 0.07455935	Min Fitness: 0.06598422	QD Score: 2.23678061
[002000/100000]	Cells: 35  Coverage: 0.01335144%		Max Fitness: 0.08589474	Mean Fitness: 0.07505646	Min Fitness: 0.06783472	QD Score: 2.62697624
[002500/100000]	Cells: 43  Coverage: 0.01640320%		Max Fitness: 0.08589474	Mean Fitness: 0.07403114	Min Fitness: 0.06724099	QD Score: 3.18333891
[003000/100000]	Cells: 48  Coverage: 0.01831055%		Max Fitness: 0.08589474	Mean Fitness: 0.07368504	Min Fitness: 0.06327824	QD Score: 3.53688200
[003500/100000]	Cells: 56  Coverage: 0.02136230%		Max Fitness: 0.08589474	Mean Fitness: 0.07335457	Min Fitness: 0.06327824	QD Score: 4.10785584
[004000/100000]	Cells: 65  Coverage: 0.02479553%		Max Fitness: 0.08846903	Mean Fitness: 0.07369830	Min Fitness: 0.06327824	QD Score: 4.79038919
[004500/100000]	Cells: 67  Coverage: 0.02555847%		Max Fitness: 0.08985412	Mean Fitness: 0.07387611	Min Fitness: 0.06327824	QD Score: 4.94969965
[005000/100000]	Cells: 72  Coverage: 0.02746582%		Max Fitness: 0.08985412	Mean Fitness: 0.07418459	Min Fitness: 0.06327824	QD Score: 5.34129043
[005500/100000]	Cells: 77  Coverage: 0.02937317%		Max Fitness: 0.08985412	Mean Fitness: 0.07413201	Min Fitness: 0.06327824	QD Score: 5.70816514
[006000/100000]	Cells: 82  Coverage: 0.03128052%		Max Fitness: 0.08985412	Mean Fitness: 0.07386246	Min Fitness: 0.06327824	QD Score: 6.05672205
[006500/100000]	Cells: 87  Coverage: 0.03318787%		Max Fitness: 0.09092694	Mean Fitness: 0.07389341	Min Fitness: 0.06327824	QD Score: 6.42872675
[007000/100000]	Cells: 93  Coverage: 0.03547668%		Max Fitness: 0.09570384	Mean Fitness: 0.07441553	Min Fitness: 0.06471410	QD Score: 6.92064434
