[000500/100000]	Cells: 1  Coverage: 0.00038147%		Max Fitness: 0.05610399	Mean Fitness: 0.05610399	Min Fitness: 0.05610399	QD Score: 0.05610399
[001000/100000]	Cells: 2  Coverage: 0.00076294%		Max Fitness: 0.05862849	Mean Fitness: 0.05660047	Min Fitness: 0.05457244	QD Score: 0.11320093
[001500/100000]	Cells: 4  Coverage: 0.00152588%		Max Fitness: 0.05862849	Mean Fitness: 0.05648454	Min Fitness: 0.05457244	QD Score: 0.22593816
[002000/100000]	Cells: 6  Coverage: 0.00228882%		Max Fitness: 0.05944851	Mean Fitness: 0.05694654	Min Fitness: 0.05457244	QD Score: 0.34167922
[002500/100000]	Cells: 8  Coverage: 0.00305176%		Max Fitness: 0.06062866	Mean Fitness: 0.05713468	Min Fitness: 0.05457244	QD Score: 0.45707746
[003000/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.06062866	Mean Fitness: 0.05738604	Min Fitness: 0.05457244	QD Score: 0.68863246
[003500/100000]	Cells: 12  Coverage: 0.00457764%		Max Fitness: 0.06062866	Mean Fitness: 0.05764572	Min Fitness: 0.05457244	QD Score: 0.69174868
[004000/100000]	Cells: 14  Coverage: 0.00534058%		Max Fitness: 0.06062866	Mean Fitness: 0.05742780	Min Fitness: 0.05321537	QD Score: 0.80398915
[004500/100000]	Cells: 16  Coverage: 0.00610352%		Max Fitness: 0.06062866	Mean Fitness: 0.05771803	Min Fitness: 0.05339217	QD Score: 0.92348849
[005000/100000]	Cells: 17  Coverage: 0.00648499%		Max Fitness: 0.06062866	Mean Fitness: 0.05777574	Min Fitness: 0.05339217	QD Score: 0.98218754
[005500/100000]	Cells: 20  Coverage: 0.00762939%		Max Fitness: 0.06115278	Mean Fitness: 0.05763179	Min Fitness: 0.05282740	QD Score: 1.15263580
[006000/100000]	Cells: 21  Coverage: 0.00801086%		Max Fitness: 0.06115278	Mean Fitness: 0.05762832	Min Fitness: 0.05282740	QD Score: 1.21019480
[006500/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.06115278	Mean Fitness: 0.05765514	Min Fitness: 0.05282740	QD Score: 1.32606831
[007000/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.06115278	Mean Fitness: 0.05767164	Min Fitness: 0.05282740	QD Score: 1.32644780
[007500/100000]	Cells: 23  Coverage: 0.00877380%		Max Fitness: 0.06115278	Mean Fitness: 0.05775845	Min Fitness: 0.05282740	QD Score: 1.32844432
[008000/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.06115278	Mean Fitness: 0.05758337	Min Fitness: 0.05282740	QD Score: 1.43958422
[008500/100000]	Cells: 25  Coverage: 0.00953674%		Max Fitness: 0.06115278	Mean Fitness: 0.05779196	Min Fitness: 0.05368395	QD Score: 1.44479901
[009000/100000]	Cells: 26  Coverage: 0.00991821%		Max Fitness: 0.06115278	Mean Fitness: 0.05774311	Min Fitness: 0.05368395	QD Score: 1.50132084
[009500/100000]	Cells: 29  Coverage: 0.01106262%		Max Fitness: 0.06115278	Mean Fitness: 0.05756667	Min Fitness: 0.05368395	QD Score: 1.66943351
